"Powertrain","Region","chemistry","share_units","year"
"BEV","ASEAN","NMC 111",0.021762848783639,2022
"BEV","ASEAN","NMC 111",0.0132034263311144,2023
"BEV","ASEAN","NMC 111",0.00824379029762057,2024
"BEV","ASEAN","NMC 111",0.0059409032883405,2025
"BEV","ASEAN","NMC 111",0.00412130678222188,2026
"BEV","ASEAN","NMC 111",0.00288044585004497,2027
"BEV","ASEAN","NMC 111",0.00168878956866967,2028
"BEV","ASEAN","NMC 111",0.00131429877192797,2029
"BEV","ASEAN","NMC 111",0.000987783530925803,2030
"BEV","ASEAN","NMC 111",0.000738557128463814,2031
"BEV","ASEAN","NMC 111",0.000535209970108353,2032
"BEV","ASEAN","NMC 111",0.000364559080039067,2033
"BEV","ASEAN","NMC 111",0.000213085177840061,2034
"BEV","ASEAN","NMC 111",0.000152813646332435,2035
"BEV","ASEAN","NMC 111",0.00011708326980055,2036
"BEV","ASEAN","NMC 111",8.56169873797417e-05,2037
"BEV","ASEAN","NMC 111",5.79955345589813e-05,2038
"BEV","ASEAN","NMC 111",3.37149367760449e-05,2039
"BEV","ASEAN","NMC 111",1.20823185840634e-05,2040
"BEV","ASEAN","NMC 111",7.56664113396516e-06,2041
"BEV","ASEAN","NMC 111",4.74545880583828e-06,2042
"BEV","ASEAN","NMC 111",2.98014117773027e-06,2043
"BEV","ASEAN","NMC 111",1.87388731429301e-06,2044
"BEV","ASEAN","NMC 111",1.17968313539699e-06,2045
"BEV","ASEAN","NMC 111",7.4348526766635e-07,2046
"BEV","ASEAN","NMC 111",4.69068879711387e-07,2047
"BEV","ASEAN","NMC 111",2.96232298407299e-07,2048
"BEV","ASEAN","NMC 111",1.87256081393445e-07,2049
"BEV","ASEAN","NMC 111",1.18474569800697e-07,2050
"BEV","ASEAN","NMC 111",1.18474569800697e-07,2051
"BEV","ASEAN","NMC 111",1.18474569800697e-07,2052
"BEV","ASEAN","NMC 111",1.18474569800697e-07,2053
"BEV","ASEAN","NMC 111",1.18474569800697e-07,2054
"BEV","ASEAN","NMC 111",1.18474569800697e-07,2055
"BEV","ASEAN","NMC 111",1.18474569800697e-07,2056
"BEV","ASEAN","NMC 111",1.18474569800697e-07,2057
"BEV","ASEAN","NMC 111",1.18474569800697e-07,2058
"BEV","ASEAN","NMC 111",1.18474569800697e-07,2059
"BEV","ASEAN","NMC 111",1.18474569800697e-07,2060
"BEV","ASEAN","NMC 111",1.18474569800697e-07,2061
"BEV","ASEAN","NMC 111",1.18474569800697e-07,2062
"BEV","ASEAN","NMC 111",1.18474569800697e-07,2063
"BEV","ASEAN","NMC 111",1.18474569800697e-07,2064
"BEV","ASEAN","NMC 111",1.18474569800697e-07,2065
"BEV","ASEAN","NMC 111",1.18474569800697e-07,2066
"BEV","ASEAN","NMC 111",1.18474569800697e-07,2067
"BEV","ASEAN","NMC 111",1.18474569800697e-07,2068
"BEV","ASEAN","NMC 111",1.18474569800697e-07,2069
"BEV","ASEAN","NMC 111",1.18474569800697e-07,2070
"BEV","ASEAN","LFP",0.411910220827803,2022
"BEV","ASEAN","LFP",0.533910307452501,2023
"BEV","ASEAN","LFP",0.620685098634791,2024
"BEV","ASEAN","LFP",0.666793031855034,2025
"BEV","ASEAN","LFP",0.701632012046689,2026
"BEV","ASEAN","LFP",0.729908318093822,2027
"BEV","ASEAN","LFP",0.755150954833428,2028
"BEV","ASEAN","LFP",0.773221091765337,2029
"BEV","ASEAN","LFP",0.788539117877119,2030
"BEV","ASEAN","LFP",0.804622986720063,2031
"BEV","ASEAN","LFP",0.815982127131125,2032
"BEV","ASEAN","LFP",0.829135766508123,2033
"BEV","ASEAN","LFP",0.839131860501192,2034
"BEV","ASEAN","LFP",0.846630502082253,2035
"BEV","ASEAN","LFP",0.853675107649314,2036
"BEV","ASEAN","LFP",0.860534783685329,2037
"BEV","ASEAN","LFP",0.867350823837211,2038
"BEV","ASEAN","LFP",0.874380658482467,2039
"BEV","ASEAN","LFP",0.880526416999779,2040
"BEV","ASEAN","LFP",0.885026645642011,2041
"BEV","ASEAN","LFP",0.889003155265418,2042
"BEV","ASEAN","LFP",0.892524114100787,2043
"BEV","ASEAN","LFP",0.89564709907844,2044
"BEV","ASEAN","LFP",0.898420955525366,2045
"BEV","ASEAN","LFP",0.900887291570085,2046
"BEV","ASEAN","LFP",0.903081687061721,2047
"BEV","ASEAN","LFP",0.90503467751946,2048
"BEV","ASEAN","LFP",0.906772559452966,2049
"BEV","ASEAN","LFP",0.908318052864651,2050
"BEV","ASEAN","LFP",0.908318052864651,2051
"BEV","ASEAN","LFP",0.908318052864651,2052
"BEV","ASEAN","LFP",0.908318052864651,2053
"BEV","ASEAN","LFP",0.908318052864651,2054
"BEV","ASEAN","LFP",0.908318052864651,2055
"BEV","ASEAN","LFP",0.908318052864651,2056
"BEV","ASEAN","LFP",0.908318052864651,2057
"BEV","ASEAN","LFP",0.908318052864651,2058
"BEV","ASEAN","LFP",0.908318052864651,2059
"BEV","ASEAN","LFP",0.908318052864651,2060
"BEV","ASEAN","LFP",0.908318052864651,2061
"BEV","ASEAN","LFP",0.908318052864651,2062
"BEV","ASEAN","LFP",0.908318052864651,2063
"BEV","ASEAN","LFP",0.908318052864651,2064
"BEV","ASEAN","LFP",0.908318052864651,2065
"BEV","ASEAN","LFP",0.908318052864651,2066
"BEV","ASEAN","LFP",0.908318052864651,2067
"BEV","ASEAN","LFP",0.908318052864651,2068
"BEV","ASEAN","LFP",0.908318052864651,2069
"BEV","ASEAN","LFP",0.908318052864651,2070
"BEV","ASEAN","NMC 622",0.206866275377406,2022
"BEV","ASEAN","NMC 622",0.155354665452964,2023
"BEV","ASEAN","NMC 622",0.121765658405743,2024
"BEV","ASEAN","NMC 622",0.0992215887784868,2025
"BEV","ASEAN","NMC 622",0.0834012683058507,2026
"BEV","ASEAN","NMC 622",0.0727765628651466,2027
"BEV","ASEAN","NMC 622",0.0638649477766587,2028
"BEV","ASEAN","NMC 622",0.0570169408472013,2029
"BEV","ASEAN","NMC 622",0.051277441870752,2030
"BEV","ASEAN","NMC 622",0.0447563615653582,2031
"BEV","ASEAN","NMC 622",0.0393666869023776,2032
"BEV","ASEAN","NMC 622",0.0341127304325831,2033
"BEV","ASEAN","NMC 622",0.0294634218032876,2034
"BEV","ASEAN","NMC 622",0.0255249519632812,2035
"BEV","ASEAN","NMC 622",0.022128796378638,2036
"BEV","ASEAN","NMC 622",0.0191402357110578,2037
"BEV","ASEAN","NMC 622",0.0163810472952395,2038
"BEV","ASEAN","NMC 622",0.0137822826421911,2039
"BEV","ASEAN","NMC 622",0.0114734566896049,2040
"BEV","ASEAN","NMC 622",0.00982841099949302,2041
"BEV","ASEAN","NMC 622",0.00843130023595893,2042
"BEV","ASEAN","NMC 622",0.00724251427507331,2043
"BEV","ASEAN","NMC 622",0.00622919845683725,2044
"BEV","ASEAN","NMC 622",0.00536401818666899,2045
"BEV","ASEAN","NMC 622",0.00462416596365588,2046
"BEV","ASEAN","NMC 622",0.00399055996111931,2047
"BEV","ASEAN","NMC 622",0.00344719461690446,2048
"BEV","ASEAN","NMC 622",0.00298061237497659,2049
"BEV","ASEAN","NMC 622",0.00257947239410664,2050
"BEV","ASEAN","NMC 622",0.00257947239410664,2051
"BEV","ASEAN","NMC 622",0.00257947239410664,2052
"BEV","ASEAN","NMC 622",0.00257947239410664,2053
"BEV","ASEAN","NMC 622",0.00257947239410664,2054
"BEV","ASEAN","NMC 622",0.00257947239410664,2055
"BEV","ASEAN","NMC 622",0.00257947239410664,2056
"BEV","ASEAN","NMC 622",0.00257947239410664,2057
"BEV","ASEAN","NMC 622",0.00257947239410664,2058
"BEV","ASEAN","NMC 622",0.00257947239410664,2059
"BEV","ASEAN","NMC 622",0.00257947239410664,2060
"BEV","ASEAN","NMC 622",0.00257947239410664,2061
"BEV","ASEAN","NMC 622",0.00257947239410664,2062
"BEV","ASEAN","NMC 622",0.00257947239410664,2063
"BEV","ASEAN","NMC 622",0.00257947239410664,2064
"BEV","ASEAN","NMC 622",0.00257947239410664,2065
"BEV","ASEAN","NMC 622",0.00257947239410664,2066
"BEV","ASEAN","NMC 622",0.00257947239410664,2067
"BEV","ASEAN","NMC 622",0.00257947239410664,2068
"BEV","ASEAN","NMC 622",0.00257947239410664,2069
"BEV","ASEAN","NMC 622",0.00257947239410664,2070
"BEV","ASEAN","NMC 532",0.105732701870218,2022
"BEV","ASEAN","NMC 532",0.101864604437147,2023
"BEV","ASEAN","NMC 532",0.0726625798875942,2024
"BEV","ASEAN","NMC 532",0.0503756725941787,2025
"BEV","ASEAN","NMC 532",0.032976766235181,2026
"BEV","ASEAN","NMC 532",0.0256057383132219,2027
"BEV","ASEAN","NMC 532",0.0195577273861745,2028
"BEV","ASEAN","NMC 532",0.0151981700997606,2029
"BEV","ASEAN","NMC 532",0.0117998403782063,2030
"BEV","ASEAN","NMC 532",0.00963308624118964,2031
"BEV","ASEAN","NMC 532",0.0082288102710922,2032
"BEV","ASEAN","NMC 532",0.0072411372920115,2033
"BEV","ASEAN","NMC 532",0.00643849968575921,2034
"BEV","ASEAN","NMC 532",0.00563077672307182,2035
"BEV","ASEAN","NMC 532",0.00515487676604097,2036
"BEV","ASEAN","NMC 532",0.00466219562103788,2037
"BEV","ASEAN","NMC 532",0.00420561141216191,2038
"BEV","ASEAN","NMC 532",0.00374877383782682,2039
"BEV","ASEAN","NMC 532",0.00331549325828823,2040
"BEV","ASEAN","NMC 532",0.00299752375047338,2041
"BEV","ASEAN","NMC 532",0.00271393432095878,2042
"BEV","ASEAN","NMC 532",0.00246047860751948,2043
"BEV","ASEAN","NMC 532",0.0022335097667294,2044
"BEV","ASEAN","NMC 532",0.00202988477046703,2045
"BEV","ASEAN","NMC 532",0.00184688566867787,2046
"BEV","ASEAN","NMC 532",0.00168215454892708,2047
"BEV","ASEAN","NMC 532",0.00153363959135897,2048
"BEV","ASEAN","NMC 532",0.00139955014570402,2049
"BEV","ASEAN","NMC 532",0.0012783191733955,2050
"BEV","ASEAN","NMC 532",0.0012783191733955,2051
"BEV","ASEAN","NMC 532",0.0012783191733955,2052
"BEV","ASEAN","NMC 532",0.0012783191733955,2053
"BEV","ASEAN","NMC 532",0.0012783191733955,2054
"BEV","ASEAN","NMC 532",0.0012783191733955,2055
"BEV","ASEAN","NMC 532",0.0012783191733955,2056
"BEV","ASEAN","NMC 532",0.0012783191733955,2057
"BEV","ASEAN","NMC 532",0.0012783191733955,2058
"BEV","ASEAN","NMC 532",0.0012783191733955,2059
"BEV","ASEAN","NMC 532",0.0012783191733955,2060
"BEV","ASEAN","NMC 532",0.0012783191733955,2061
"BEV","ASEAN","NMC 532",0.0012783191733955,2062
"BEV","ASEAN","NMC 532",0.0012783191733955,2063
"BEV","ASEAN","NMC 532",0.0012783191733955,2064
"BEV","ASEAN","NMC 532",0.0012783191733955,2065
"BEV","ASEAN","NMC 532",0.0012783191733955,2066
