"Powertrain","chemistry","share_units","year"
"BEV","NMC 111",0.0220749867222248,2022
"BEV","NMC 111",0.014727089208388,2023
"BEV","NMC 111",0.00999994691487212,2024
"BEV","NMC 111",0.00763093357466888,2025
"BEV","NMC 111",0.00557215235845466,2026
"BEV","NMC 111",0.00409641676036743,2027
"BEV","NMC 111",0.00250966057721114,2028
"BEV","NMC 111",0.00202596359454853,2029
"BEV","NMC 111",0.00157124824439596,2030
"BEV","NMC 111",0.00121483458822808,2031
"BEV","NMC 111",0.000905319330196509,2032
"BEV","NMC 111",0.00063444932976436,2033
"BEV","NMC 111",0.000380031851316899,2034
"BEV","NMC 111",0.000278059309985212,2035
"BEV","NMC 111",0.00021721914406514,2036
"BEV","NMC 111",0.000161789674179516,2037
"BEV","NMC 111",0.000111565413277849,2038
"BEV","NMC 111",6.60159133054324e-05,2039
"BEV","NMC 111",2.40316782424123e-05,2040
"BEV","NMC 111",1.52522273376965e-05,2041
"BEV","NMC 111",9.68296427987793e-06,2042
"BEV","NMC 111",6.14920439213394e-06,2043
"BEV","NMC 111",3.90635828300986e-06,2044
"BEV","NMC 111",2.48240482238791e-06,2045
"BEV","NMC 111",1.57806031079166e-06,2046
"BEV","NMC 111",1.00352146356615e-06,2047
"BEV","NMC 111",6.38384373842196e-07,2048
"BEV","NMC 111",4.06246673750197e-07,2049
"BEV","NMC 111",2.5861164254315e-07,2050
"BEV","NMC 111",2.5861164254315e-07,2051
"BEV","NMC 111",2.5861164254315e-07,2052
"BEV","NMC 111",2.5861164254315e-07,2053
"BEV","NMC 111",2.5861164254315e-07,2054
"BEV","NMC 111",2.5861164254315e-07,2055
"BEV","NMC 111",2.5861164254315e-07,2056
"BEV","NMC 111",2.5861164254315e-07,2057
"BEV","NMC 111",2.5861164254315e-07,2058
"BEV","NMC 111",2.5861164254315e-07,2059
"BEV","NMC 111",2.5861164254315e-07,2060
"BEV","NMC 111",2.5861164254315e-07,2061
"BEV","NMC 111",2.5861164254315e-07,2062
"BEV","NMC 111",2.5861164254315e-07,2063
"BEV","NMC 111",2.5861164254315e-07,2064
"BEV","NMC 111",2.5861164254315e-07,2065
"BEV","NMC 111",2.5861164254315e-07,2066
"BEV","NMC 111",2.5861164254315e-07,2067
"BEV","NMC 111",2.5861164254315e-07,2068
"BEV","NMC 111",2.5861164254315e-07,2069
"BEV","NMC 111",2.5861164254315e-07,2070
"BEV","LMO",1.70479042204494e-05,2022
"BEV","LMO",1.55690015286121e-05,2023
"BEV","LMO",1.21402014603514e-05,2024
"BEV","LMO",1.07133398732657e-05,2025
"BEV","LMO",8.54386836803905e-06,2026
"BEV","LMO",7.10139647485221e-06,2027
"BEV","LMO",5.95762590879437e-06,2028
"BEV","LMO",5.67634063184394e-06,2029
"BEV","LMO",5.16897427929349e-06,2030
"BEV","LMO",4.94122340201676e-06,2031
"BEV","LMO",4.70142910038008e-06,2032
"BEV","LMO",4.55289500867599e-06,2033
"BEV","LMO",4.37081219389559e-06,2034
"BEV","LMO",3.9518612174773e-06,2035
"BEV","LMO",3.76540336802381e-06,2036
"BEV","LMO",3.64266034940233e-06,2037
"BEV","LMO",3.53102999117893e-06,2038
"BEV","LMO",3.42083495668934e-06,2039
"BEV","LMO",3.32146286031697e-06,2040
"BEV","LMO",3.20988755176025e-06,2041
"BEV","LMO",3.10295964180745e-06,2042
"BEV","LMO",3.00053000910097e-06,2043
"BEV","LMO",2.90243410049359e-06,2044
"BEV","LMO",2.80849819716989e-06,2045
"BEV","LMO",2.71854414082434e-06,2046
"BEV","LMO",2.63239287216346e-06,2047
"BEV","LMO",2.54986705073058e-06,2048
"BEV","LMO",2.47079296334742e-06,2049
"BEV","LMO",2.39500188201575e-06,2050
"BEV","LMO",2.39500188201575e-06,2051
"BEV","LMO",2.39500188201575e-06,2052
"BEV","LMO",2.39500188201575e-06,2053
"BEV","LMO",2.39500188201575e-06,2054
"BEV","LMO",2.39500188201575e-06,2055
"BEV","LMO",2.39500188201575e-06,2056
