"Powertrain","Region","chemistry","share_units","year"
"BEV","ASEAN","NMC 111",0.021762848783639,2022
"BEV","ASEAN","NMC 111",0.0150451116779838,2023
"BEV","ASEAN","NMC 111",0.010678269098359,2024
"BEV","ASEAN","NMC 111",0.00852330343683778,2025
"BEV","ASEAN","NMC 111",0.0064472607488002,2026
"BEV","ASEAN","NMC 111",0.00487354262827466,2027
"BEV","ASEAN","NMC 111",0.00306701436063203,2028
"BEV","ASEAN","NMC 111",0.00253027837893254,2029
"BEV","ASEAN","NMC 111",0.00200024780840178,2030
"BEV","ASEAN","NMC 111",0.00157493787877171,2031
"BEV","ASEAN","NMC 111",0.00118946828032868,2032
"BEV","ASEAN","NMC 111",0.000846891855159232,2033
"BEV","ASEAN","NMC 111",0.00051328394718824,2034
"BEV","ASEAN","NMC 111",0.000378512952812149,2035
"BEV","ASEAN","NMC 111",0.000297853914616135,2036
"BEV","ASEAN","NMC 111",0.00022338235581365,2037
"BEV","ASEAN","NMC 111",0.000155102678437021,2038
"BEV","ASEAN","NMC 111",9.24743522801869e-05,2039
"BEV","ASEAN","NMC 111",3.38567449884366e-05,2040
"BEV","ASEAN","NMC 111",2.15467460048147e-05,2041
"BEV","ASEAN","NMC 111",1.3700015689062e-05,2042
"BEV","ASEAN","NMC 111",8.70367950028853e-06,2043
"BEV","ASEAN","NMC 111",5.52538893116498e-06,2044
"BEV","ASEAN","NMC 111",3.50536407423785e-06,2045
"BEV","ASEAN","NMC 111",2.22250496325868e-06,2046
"BEV","ASEAN","NMC 111",1.40837348216392e-06,2047
"BEV","ASEAN","NMC 111",8.9203525620916e-07,2048
"BEV","ASEAN","NMC 111",5.64750405792233e-07,2049
"BEV","ASEAN","NMC 111",3.57404998566864e-07,2050
"BEV","ASEAN","NMC 111",3.57404998566864e-07,2051
"BEV","ASEAN","NMC 111",3.57404998566864e-07,2052
"BEV","ASEAN","NMC 111",3.57404998566864e-07,2053
"BEV","ASEAN","NMC 111",3.57404998566864e-07,2054
"BEV","ASEAN","NMC 111",3.57404998566864e-07,2055
"BEV","ASEAN","NMC 111",3.57404998566864e-07,2056
"BEV","ASEAN","NMC 111",3.57404998566864e-07,2057
"BEV","ASEAN","NMC 111",3.57404998566864e-07,2058
"BEV","ASEAN","NMC 111",3.57404998566864e-07,2059
"BEV","ASEAN","NMC 111",3.57404998566864e-07,2060
"BEV","ASEAN","NMC 111",3.57404998566864e-07,2061
"BEV","ASEAN","NMC 111",3.57404998566864e-07,2062
"BEV","ASEAN","NMC 111",3.57404998566864e-07,2063
"BEV","ASEAN","NMC 111",3.57404998566864e-07,2064
"BEV","ASEAN","NMC 111",3.57404998566864e-07,2065
"BEV","ASEAN","NMC 111",3.57404998566864e-07,2066
"BEV","ASEAN","NMC 111",3.57404998566864e-07,2067
"BEV","ASEAN","NMC 111",3.57404998566864e-07,2068
"BEV","ASEAN","NMC 111",3.57404998566864e-07,2069
"BEV","ASEAN","NMC 111",3.57404998566864e-07,2070
"BEV","ASEAN","LFP",0.411910220827803,2022
"BEV","ASEAN","LFP",0.460397950533863,2023
"BEV","ASEAN","LFP",0.489379129333344,2024
"BEV","ASEAN","LFP",0.48701446655964,2025
"BEV","ASEAN","LFP",0.480206179023528,2026
"BEV","ASEAN","LFP",0.473683806463384,2027
"BEV","ASEAN","LFP",0.468293604389378,2028
"BEV","ASEAN","LFP",0.458030642514813,2029
"BEV","ASEAN","LFP",0.447098585912293,2030
"BEV","ASEAN","LFP",0.440761145352473,2031
"BEV","ASEAN","LFP",0.430313865852465,2032
"BEV","ASEAN","LFP",0.424658671360631,2033
"BEV","ASEAN","LFP",0.416153713677776,2034
"BEV","ASEAN","LFP",0.404951066614225,2035
"BEV","ASEAN","LFP",0.394855687761751,2036
"BEV","ASEAN","LFP",0.385680588496341,2037
"BEV","ASEAN","LFP",0.377614899272477,2038
"BEV","ASEAN","LFP",0.371004303494069,2039
"BEV","ASEAN","LFP",0.363614957439769,2040
"BEV","ASEAN","LFP",0.354600918656227,2041
"BEV","ASEAN","LFP",0.345494275165052,2042
"BEV","ASEAN","LFP",0.336344482861851,2043
"BEV","ASEAN","LFP",0.327194427092613,2044
"BEV","ASEAN","LFP",0.318081054729627,2045
"BEV","ASEAN","LFP",0.309035974291827,2046
"BEV","ASEAN","LFP",0.300086020537006,2047
"BEV","ASEAN","LFP",0.291253780579348,2048
"BEV","ASEAN","LFP",0.282558079674208,2049
"BEV","ASEAN","LFP",0.274014425989024,2050
"BEV","ASEAN","LFP",0.274014425989024,2051
"BEV","ASEAN","LFP",0.274014425989024,2052
"BEV","ASEAN","LFP",0.274014425989024,2053
"BEV","ASEAN","LFP",0.274014425989024,2054
"BEV","ASEAN","LFP",0.274014425989024,2055
"BEV","ASEAN","LFP",0.274014425989024,2056
"BEV","ASEAN","LFP",0.274014425989024,2057
"BEV","ASEAN","LFP",0.274014425989024,2058
"BEV","ASEAN","LFP",0.274014425989024,2059
"BEV","ASEAN","LFP",0.274014425989024,2060
"BEV","ASEAN","LFP",0.274014425989024,2061
"BEV","ASEAN","LFP",0.274014425989024,2062
"BEV","ASEAN","LFP",0.274014425989024,2063
"BEV","ASEAN","LFP",0.274014425989024,2064
"BEV","ASEAN","LFP",0.274014425989024,2065
"BEV","ASEAN","LFP",0.274014425989024,2066
"BEV","ASEAN","LFP",0.274014425989024,2067
"BEV","ASEAN","LFP",0.274014425989024,2068
"BEV","ASEAN","LFP",0.274014425989024,2069
"BEV","ASEAN","LFP",0.274014425989024,2070
"BEV","ASEAN","NMC 622",0.206866275377406,2022
"BEV","ASEAN","NMC 622",0.177024374796385,2023
"BEV","ASEAN","NMC 622",0.157724350141545,2024
"BEV","ASEAN","NMC 622",0.142351367729538,2025
"BEV","ASEAN","NMC 622",0.130470686110529,2026
"BEV","ASEAN","NMC 622",0.123133604978919,2027
"BEV","ASEAN","NMC 622",0.115985268742704,2028
"BEV","ASEAN","NMC 622",0.109768597323513,2029
"BEV","ASEAN","NMC 622",0.10383610124203,2030
"BEV","ASEAN","NMC 622",0.0954408080684289,2031
"BEV","ASEAN","NMC 622",0.0874898226625502,2032
"BEV","ASEAN","NMC 622",0.0792458483203907,2033
"BEV","ASEAN","NMC 622",0.0709720947940111,2034
"BEV","ASEAN","NMC 622",0.0632242287903524,2035
"BEV","ASEAN","NMC 622",0.0562945383943296,2036
"BEV","ASEAN","NMC 622",0.0499385819895867,2037
"BEV","ASEAN","NMC 622",0.0438093092927912,2038
"BEV","ASEAN","NMC 622",0.0378024633041769,2039
"BEV","ASEAN","NMC 622",0.0321506087240736,2040
"BEV","ASEAN","NMC 622",0.0279873555105459,2041
"BEV","ASEAN","NMC 622",0.0243409436764513,2042
"BEV","ASEAN","NMC 622",0.0211521935596731,2043
"BEV","ASEAN","NMC 622",0.0183675634820251,2044
"BEV","ASEAN","NMC 622",0.0159388873850268,2045
"BEV","ASEAN","NMC 622",0.0138230470086048,2046
"BEV","ASEAN","NMC 622",0.0119816066921421,2047
"BEV","ASEAN","NMC 622",0.0103804316741494,2048
"BEV","ASEAN","NMC 622",0.00898930510427901,2049
"BEV","ASEAN","NMC 622",0.00778155454685196,2050
"BEV","ASEAN","NMC 622",0.00778155454685196,2051
"BEV","ASEAN","NMC 622",0.00778155454685196,2052
"BEV","ASEAN","NMC 622",0.00778155454685196,2053
"BEV","ASEAN","NMC 622",0.00778155454685196,2054
"BEV","ASEAN","NMC 622",0.00778155454685196,2055
"BEV","ASEAN","NMC 622",0.00778155454685196,2056
"BEV","ASEAN","NMC 622",0.00778155454685196,2057
"BEV","ASEAN","NMC 622",0.00778155454685196,2058
"BEV","ASEAN","NMC 622",0.00778155454685196,2059
"BEV","ASEAN","NMC 622",0.00778155454685196,2060
"BEV","ASEAN","NMC 622",0.00778155454685196,2061
"BEV","ASEAN","NMC 622",0.00778155454685196,2062
"BEV","ASEAN","NMC 622",0.00778155454685196,2063
"BEV","ASEAN","NMC 622",0.00778155454685196,2064
"BEV","ASEAN","NMC 622",0.00778155454685196,2065
"BEV","ASEAN","NMC 622",0.00778155454685196,2066
"BEV","ASEAN","NMC 622",0.00778155454685196,2067
"BEV","ASEAN","NMC 622",0.00778155454685196,2068
"BEV","ASEAN","NMC 622",0.00778155454685196,2069
