"Powertrain","chemistry","share_units","year"
"BEV","NMC 111",0.0220749867222248,2022
"BEV","NMC 111",0.0151173489840622,2023
"BEV","NMC 111",0.0105287570169487,2024
"BEV","NMC 111",0.00812417159368221,2025
"BEV","NMC 111",0.00595837090944278,2026
"BEV","NMC 111",0.0044100697731748,2027
"BEV","NMC 111",0.00271123261536977,2028
"BEV","NMC 111",0.00218631097589956,2029
"BEV","NMC 111",0.0016878596788411,2030
"BEV","NMC 111",0.00130432442825958,2031
"BEV","NMC 111",0.000967532650300565,2032
"BEV","NMC 111",0.000676970508203944,2033
"BEV","NMC 111",0.000403467771368942,2034
"BEV","NMC 111",0.00029231776652008,2035
"BEV","NMC 111",0.000226439538939399,2036
"BEV","NMC 111",0.000167249168047993,2037
"BEV","NMC 111",0.00011444279161829,2038
"BEV","NMC 111",6.72836189972891e-05,2039
"BEV","NMC 111",2.42830768446442e-05,2040
"BEV","NMC 111",1.52520917080193e-05,2041
"BEV","NMC 111",9.57603745583537e-06,2042
"BEV","NMC 111",6.01044557217225e-06,2043
"BEV","NMC 111",3.77155942857637e-06,2044
"BEV","NMC 111",2.36621244435583e-06,2045
"BEV","NMC 111",1.48431665476284e-06,2046
"BEV","NMC 111",9.31017762090306e-07,2047
"BEV","NMC 111",5.83934131929935e-07,2048
"BEV","NMC 111",3.66233340672994e-07,2049
"BEV","NMC 111",2.29695073880732e-07,2050
"BEV","NMC 111",2.29695073880732e-07,2051
"BEV","NMC 111",2.29695073880732e-07,2052
"BEV","NMC 111",2.29695073880732e-07,2053
"BEV","NMC 111",2.29695073880732e-07,2054
"BEV","NMC 111",2.29695073880732e-07,2055
"BEV","NMC 111",2.29695073880732e-07,2056
"BEV","NMC 111",2.29695073880732e-07,2057
"BEV","NMC 111",2.29695073880732e-07,2058
"BEV","NMC 111",2.29695073880732e-07,2059
"BEV","NMC 111",2.29695073880732e-07,2060
"BEV","NMC 111",2.29695073880732e-07,2061
"BEV","NMC 111",2.29695073880732e-07,2062
"BEV","NMC 111",2.29695073880732e-07,2063
"BEV","NMC 111",2.29695073880732e-07,2064
"BEV","NMC 111",2.29695073880732e-07,2065
"BEV","NMC 111",2.29695073880732e-07,2066
"BEV","NMC 111",2.29695073880732e-07,2067
"BEV","NMC 111",2.29695073880732e-07,2068
"BEV","NMC 111",2.29695073880732e-07,2069
"BEV","NMC 111",2.29695073880732e-07,2070
"BEV","LMO",1.70479042204494e-05,2022
"BEV","LMO",1.59815715183808e-05,2023
"BEV","LMO",1.27821909857089e-05,2024
"BEV","LMO",1.14058143240521e-05,2025
"BEV","LMO",9.13606331330656e-06,2026
"BEV","LMO",7.64513372859717e-06,2027
"BEV","LMO",6.43613316508509e-06,2028
"BEV","LMO",6.12560159508225e-06,2029
"BEV","LMO",5.55259380438656e-06,2030
"BEV","LMO",5.30521476025706e-06,2031
"BEV","LMO",5.02451014351321e-06,2032
"BEV","LMO",4.85803279036851e-06,2033
"BEV","LMO",4.64035277262255e-06,2034
"BEV","LMO",4.15450662217253e-06,2035
