"Powertrain","chemistry","share_units","year"
"BEV","NMC 111",0.0220749867222248,2022
"BEV","NMC 111",0.0153791661794845,2023
"BEV","NMC 111",0.0109436744531757,2024
"BEV","NMC 111",0.0087018501198421,2025
"BEV","NMC 111",0.00660354439761384,2026
"BEV","NMC 111",0.00504047974836158,2027
"BEV","NMC 111",0.00320237052732898,2028
"BEV","NMC 111",0.00267111114997591,2029
"BEV","NMC 111",0.00213583939695807,2030
"BEV","NMC 111",0.00170593961051831,2031
"BEV","NMC 111",0.00130852614383971,2032
"BEV","NMC 111",0.000945866658656696,2033
"BEV","NMC 111",0.000582748694723244,2034
"BEV","NMC 111",0.000437092136344248,2035
"BEV","NMC 111",0.000349953206500188,2036
"BEV","NMC 111",0.000267074021603095,2037
"BEV","NMC 111",0.000188734051898439,2038
"BEV","NMC 111",0.000114533449235834,2039
"BEV","NMC 111",4.26913669009013e-05,2040
"BEV","NMC 111",2.76659382799269e-05,2041
"BEV","NMC 111",1.79142591104165e-05,2042
"BEV","NMC 111",1.15912246459447e-05,2043
"BEV","NMC 111",7.49484977459993e-06,2044
"BEV","NMC 111",4.84309816484092e-06,2045
"BEV","NMC 111",3.12774728498951e-06,2046
"BEV","NMC 111",2.0188652804029e-06,2047
"BEV","NMC 111",1.30246995687393e-06,2048
"BEV","NMC 111",8.39901754733095e-07,2049
"BEV","NMC 111",5.41382041572621e-07,2050
"BEV","NMC 111",5.41382041572621e-07,2051
"BEV","NMC 111",5.41382041572621e-07,2052
"BEV","NMC 111",5.41382041572621e-07,2053
"BEV","NMC 111",5.41382041572621e-07,2054
"BEV","NMC 111",5.41382041572621e-07,2055
"BEV","NMC 111",5.41382041572621e-07,2056
"BEV","NMC 111",5.41382041572621e-07,2057
"BEV","NMC 111",5.41382041572621e-07,2058
"BEV","NMC 111",5.41382041572621e-07,2059
"BEV","NMC 111",5.41382041572621e-07,2060
"BEV","NMC 111",5.41382041572621e-07,2061
"BEV","NMC 111",5.41382041572621e-07,2062
"BEV","NMC 111",5.41382041572621e-07,2063
"BEV","NMC 111",5.41382041572621e-07,2064
"BEV","NMC 111",5.41382041572621e-07,2065
"BEV","NMC 111",5.41382041572621e-07,2066
"BEV","NMC 111",5.41382041572621e-07,2067
"BEV","NMC 111",5.41382041572621e-07,2068
"BEV","NMC 111",5.41382041572621e-07,2069
"BEV","NMC 111",5.41382041572621e-07,2070
"BEV","LMO",1.70479042204494e-05,2022
"BEV","LMO",1.62583561740631e-05,2023
"BEV","LMO",1.32859117862381e-05,2024
"BEV","LMO",1.22168378151728e-05,2025
"BEV","LMO",1.01253179142003e-05,2026
"BEV","LMO",8.73798912817852e-06,2027
"BEV","LMO",7.60203423379891e-06,2028
"BEV","LMO",7.48391372558618e-06,2029
"BEV","LMO",7.02632378235191e-06,2030
"BEV","LMO",6.93874607094894e-06,2031
"BEV","LMO",6.79532921264455e-06,2032
"BEV","LMO",6.78766827710348e-06,2033
"BEV","LMO",6.70229374734473e-06,2034
"BEV","LMO",6.21208281850012e-06,2035
"BEV","LMO",6.06629304280558e-06,2036
"BEV","LMO",6.01311519899328e-06,2037
"BEV","LMO",5.97340679364853e-06,2038
"BEV","LMO",5.93493306747761e-06,2039
"BEV","LMO",5.90045306811978e-06,2040
"BEV","LMO",5.82239884879113e-06,2041
"BEV","LMO",5.74072375212817e-06,2042
"BEV","LMO",5.65598655931459e-06,2043
"BEV","LMO",5.56869236969082e-06,2044
"BEV","LMO",5.47929666507352e-06,2045
"BEV","LMO",5.3882091815121e-06,2046
"BEV","LMO",5.29579761563374e-06,2047
"BEV","LMO",5.20239116695589e-06,2048
"BEV","LMO",5.10828390627943e-06,2049
"BEV","LMO",5.01373795744564e-06,2050
"BEV","LMO",5.01373795744564e-06,2051
"BEV","LMO",5.01373795744564e-06,2052
"BEV","LMO",5.01373795744564e-06,2053
"BEV","LMO",5.01373795744564e-06,2054
"BEV","LMO",5.01373795744564e-06,2055
"BEV","LMO",5.01373795744564e-06,2056
"BEV","LMO",5.01373795744564e-06,2057
"BEV","LMO",5.01373795744564e-06,2058
"BEV","LMO",5.01373795744564e-06,2059
"BEV","LMO",5.01373795744564e-06,2060
"BEV","LMO",5.01373795744564e-06,2061
"BEV","LMO",5.01373795744564e-06,2062
"BEV","LMO",5.01373795744564e-06,2063
"BEV","LMO",5.01373795744564e-06,2064
"BEV","LMO",5.01373795744564e-06,2065
"BEV","LMO",5.01373795744564e-06,2066
"BEV","LMO",5.01373795744564e-06,2067
"BEV","LMO",5.01373795744564e-06,2068
"BEV","LMO",5.01373795744564e-06,2069
"BEV","LMO",5.01373795744564e-06,2070
"BEV","LFP",0.345379868299084,2022
"BEV","LFP",0.389027677314221,2023
"BEV","LFP",0.414588730571959,2024
"BEV","LFP",0.411012713130032,2025
"BEV","LFP",0.406573769075192,2026
"BEV","LFP",0.404972364413704,2027
"BEV","LFP",0.404188303667633,2028
"BEV","LFP",0.399694280666217,2029
"BEV","LFP",0.376698980357635,2030
"BEV","LFP",0.358773689995149,2031
"BEV","LFP",0.337952407117434,2032
"BEV","LFP",0.320775748079186,2033
"BEV","LFP",0.301795935913794,2034
"BEV","LFP",0.281126535880304,2035
"BEV","LFP",0.261470914580481,2036
"BEV","LFP",0.242563616975513,2037
"BEV","LFP",0.22444529400282,2038
"BEV","LFP",0.20718499488993,2039
"BEV","LFP",0.189503112173192,2040
"BEV","LFP",0.188184269224504,2041
"BEV","LFP",0.186723247264909,2042
"BEV","LFP",0.185135835185642,2043
"BEV","LFP",0.183436487563824,2044
"BEV","LFP",0.18163841028494,2045
"BEV","LFP",0.17975364389729,2046
"BEV","LFP",0.177793145423595,2047
"BEV","LFP",0.175766868525053,2048
"BEV","LFP",0.17368384152782,2049
"BEV","LFP",0.171552242703359,2050
"BEV","LFP",0.171552242703359,2051
"BEV","LFP",0.171552242703359,2052
"BEV","LFP",0.171552242703359,2053
"BEV","LFP",0.171552242703359,2054
"BEV","LFP",0.171552242703359,2055
"BEV","LFP",0.171552242703359,2056
"BEV","LFP",0.171552242703359,2057
"BEV","LFP",0.171552242703359,2058
"BEV","LFP",0.171552242703359,2059
"BEV","LFP",0.171552242703359,2060
"BEV","LFP",0.171552242703359,2061
"BEV","LFP",0.171552242703359,2062
"BEV","LFP",0.171552242703359,2063
"BEV","LFP",0.171552242703359,2064
"BEV","LFP",0.171552242703359,2065
"BEV","LFP",0.171552242703359,2066
"BEV","LFP",0.171552242703359,2067
"BEV","LFP",0.171552242703359,2068
"BEV","LFP",0.171552242703359,2069
"BEV","LFP",0.171552242703359,2070
"BEV","NMC 622",0.212877209732372,2022
"BEV","NMC 622",0.183579934522859,2023
"BEV","NMC 622",0.163989415682314,2024
"BEV","NMC 622",0.147441608624214,2025
"BEV","NMC 622",0.135571868242881,2026
"BEV","NMC 622",0.129198796140231,2027
"BEV","NMC 622",0.122860809148703,2028
"BEV","NMC 622",0.11755917720404,2029
"BEV","NMC 622",0.112483269296128,2030
