"Powertrain","Region","chemistry","share_units","year"
"BEV","ASEAN","NMC 111",0.021762848783639,2022
"BEV","ASEAN","NMC 111",0.0151740860169397,2023
"BEV","ASEAN","NMC 111",0.0108883072861875,2024
"BEV","ASEAN","NMC 111",0.00883188686543263,2025
"BEV","ASEAN","NMC 111",0.00680834125464536,2026
"BEV","ASEAN","NMC 111",0.00523663617279951,2027
"BEV","ASEAN","NMC 111",0.00335940162498665,2028
"BEV","ASEAN","NMC 111",0.00282831571916286,2029
"BEV","ASEAN","NMC 111",0.00218133088836937,2030
"BEV","ASEAN","NMC 111",0.001669900712883,2031
"BEV","ASEAN","NMC 111",0.00122398547233746,2032
"BEV","ASEAN","NMC 111",0.00084338263477781,2033
"BEV","ASEAN","NMC 111",0.000493530082453617,2034
"BEV","ASEAN","NMC 111",0.000350749009670328,2035
"BEV","ASEAN","NMC 111",0.000264740619699402,2036
"BEV","ASEAN","NMC 111",0.000189648367060429,2037
"BEV","ASEAN","NMC 111",0.000125143733670262,2038
"BEV","ASEAN","NMC 111",7.04913326706023e-05,2039
"BEV","ASEAN","NMC 111",2.42387718621219e-05,2040
"BEV","ASEAN","NMC 111",1.57967642773913e-05,2041
"BEV","ASEAN","NMC 111",1.02862350531783e-05,2042
"BEV","ASEAN","NMC 111",6.69272665847434e-06,2043
"BEV","ASEAN","NMC 111",4.35144081896271e-06,2044
"BEV","ASEAN","NMC 111",2.82728206887934e-06,2045
"BEV","ASEAN","NMC 111",1.83582758372086e-06,2046
"BEV","ASEAN","NMC 111",1.19135192859323e-06,2047
"BEV","ASEAN","NMC 111",7.72699605671299e-07,2048
"BEV","ASEAN","NMC 111",5.00909400216761e-07,2049
"BEV","ASEAN","NMC 111",3.2456340475343e-07,2050
"BEV","ASEAN","NMC 111",3.2456340475343e-07,2051
"BEV","ASEAN","NMC 111",3.2456340475343e-07,2052
"BEV","ASEAN","NMC 111",3.2456340475343e-07,2053
"BEV","ASEAN","NMC 111",3.2456340475343e-07,2054
"BEV","ASEAN","NMC 111",3.2456340475343e-07,2055
"BEV","ASEAN","NMC 111",3.2456340475343e-07,2056
"BEV","ASEAN","NMC 111",3.2456340475343e-07,2057
"BEV","ASEAN","NMC 111",3.2456340475343e-07,2058
"BEV","ASEAN","NMC 111",3.2456340475343e-07,2059
"BEV","ASEAN","NMC 111",3.2456340475343e-07,2060
"BEV","ASEAN","NMC 111",3.2456340475343e-07,2061
"BEV","ASEAN","NMC 111",3.2456340475343e-07,2062
"BEV","ASEAN","NMC 111",3.2456340475343e-07,2063
"BEV","ASEAN","NMC 111",3.2456340475343e-07,2064
"BEV","ASEAN","NMC 111",3.2456340475343e-07,2065
"BEV","ASEAN","NMC 111",3.2456340475343e-07,2066
"BEV","ASEAN","NMC 111",3.2456340475343e-07,2067
"BEV","ASEAN","NMC 111",3.2456340475343e-07,2068
"BEV","ASEAN","NMC 111",3.2456340475343e-07,2069
"BEV","ASEAN","NMC 111",3.2456340475343e-07,2070
"BEV","ASEAN","LFP",0.411910220827803,2022
"BEV","ASEAN","LFP",0.464344715609302,2023
"BEV","ASEAN","LFP",0.499005062575843,2024
"BEV","ASEAN","LFP",0.504646666912468,2025
"BEV","ASEAN","LFP",0.507100250286902,2026
"BEV","ASEAN","LFP",0.508974670910732,2027
"BEV","ASEAN","LFP",0.512937375106499,2028
"BEV","ASEAN","LFP",0.511981320659836,2029
"BEV","ASEAN","LFP",0.510792401702516,2030
"BEV","ASEAN","LFP",0.514071124221214,2031
"BEV","ASEAN","LFP",0.512717119038286,2032
"BEV","ASEAN","LFP",0.516876599541531,2033
"BEV","ASEAN","LFP",0.5178255577177,2034
"BEV","ASEAN","LFP",0.515965844025589,2035
"BEV","ASEAN","LFP",0.514739017011343,2036
"BEV","ASEAN","LFP",0.514544176340279,2037
"BEV","ASEAN","LFP",0.51560635382116,2038
"BEV","ASEAN","LFP",0.518483338865763,2039
"BEV","ASEAN","LFP",0.520639535906239,2040
"BEV","ASEAN","LFP",0.519943672544073,2041
"BEV","ASEAN","LFP",0.518807482346541,2042
"BEV","ASEAN","LFP",0.517266677111825,2043
"BEV","ASEAN","LFP",0.515354558213054,2044
"BEV","ASEAN","LFP",0.513102116323156,2045
"BEV","ASEAN","LFP",0.51053813183404,2046
"BEV","ASEAN","LFP",0.507689279638141,2047
"BEV","ASEAN","LFP",0.504580239037477,2048
"BEV","ASEAN","LFP",0.50123380794197,2049
"BEV","ASEAN","LFP",0.497671019751653,2050
"BEV","ASEAN","LFP",0.497671019751653,2051
"BEV","ASEAN","LFP",0.497671019751653,2052
"BEV","ASEAN","LFP",0.497671019751653,2053
"BEV","ASEAN","LFP",0.497671019751653,2054
"BEV","ASEAN","LFP",0.497671019751653,2055
"BEV","ASEAN","LFP",0.497671019751653,2056
"BEV","ASEAN","LFP",0.497671019751653,2057
"BEV","ASEAN","LFP",0.497671019751653,2058
"BEV","ASEAN","LFP",0.497671019751653,2059
"BEV","ASEAN","LFP",0.497671019751653,2060
"BEV","ASEAN","LFP",0.497671019751653,2061
"BEV","ASEAN","LFP",0.497671019751653,2062
"BEV","ASEAN","LFP",0.497671019751653,2063
"BEV","ASEAN","LFP",0.497671019751653,2064
"BEV","ASEAN","LFP",0.497671019751653,2065
"BEV","ASEAN","LFP",0.497671019751653,2066
"BEV","ASEAN","LFP",0.497671019751653,2067
"BEV","ASEAN","LFP",0.497671019751653,2068
"BEV","ASEAN","LFP",0.497671019751653,2069
"BEV","ASEAN","LFP",0.497671019751653,2070
"BEV","ASEAN","NMC 622",0.206866275377406,2022
"BEV","ASEAN","NMC 622",0.178541917650643,2023
"BEV","ASEAN","NMC 622",0.160826738400822,2024
"BEV","ASEAN","NMC 622",0.147505152696209,2025
"BEV","ASEAN","NMC 622",0.13777773063289,2026
"BEV","ASEAN","NMC 622",0.132307427902418,2027
"BEV","ASEAN","NMC 622",0.127042476647699,2028
"BEV","ASEAN","NMC 622",0.122698060365802,2029
"BEV","ASEAN","NMC 622",0.113236417015782,2030
"BEV","ASEAN","NMC 622",0.101195530045856,2031
"BEV","ASEAN","NMC 622",0.09002869070771,2032
"BEV","ASEAN","NMC 622",0.0789174815467881,2033
"BEV","ASEAN","NMC 622",0.0682407154703957,2034
"BEV","ASEAN","NMC 622",0.0585867285931215,2035
"BEV","ASEAN","NMC 622",0.0500361091423414,2036
"BEV","ASEAN","NMC 622",0.0423971288741317,2037
"BEV","ASEAN","NMC 622",0.0353472976073802,2038
"BEV","ASEAN","NMC 622",0.0288160549475285,2039
"BEV","ASEAN","NMC 622",0.0230173122182102,2040
"BEV","ASEAN","NMC 622",0.0205186276224192,2041
"BEV","ASEAN","NMC 622",0.0182756482733119,2042
"BEV","ASEAN","NMC 622",0.0162650577514188,2043
"BEV","ASEAN","NMC 622",0.0144651112304092,2044
"BEV","ASEAN","NMC 622",0.0128556490986949,2045
"BEV","ASEAN","NMC 622",0.0114180761838475,2046
"BEV","ASEAN","NMC 622",0.0101353159663281,2047
"BEV","ASEAN","NMC 622",0.00899174713721451,2048
"BEV","ASEAN","NMC 622",0.00797312827395544,2049
"BEV","ASEAN","NMC 622",0.00706651515263661,2050
"BEV","ASEAN","NMC 622",0.00706651515263661,2051
"BEV","ASEAN","NMC 622",0.00706651515263661,2052
"BEV","ASEAN","NMC 622",0.00706651515263661,2053
"BEV","ASEAN","NMC 622",0.00706651515263661,2054
"BEV","ASEAN","NMC 622",0.00706651515263661,2055
"BEV","ASEAN","NMC 622",0.00706651515263661,2056
"BEV","ASEAN","NMC 622",0.00706651515263661,2057
"BEV","ASEAN","NMC 622",0.00706651515263661,2058
"BEV","ASEAN","NMC 622",0.00706651515263661,2059
"BEV","ASEAN","NMC 622",0.00706651515263661,2060
"BEV","ASEAN","NMC 622",0.00706651515263661,2061
"BEV","ASEAN","NMC 622",0.00706651515263661,2062
"BEV","ASEAN","NMC 622",0.00706651515263661,2063
"BEV","ASEAN","NMC 622",0.00706651515263661,2064
"BEV","ASEAN","NMC 622",0.00706651515263661,2065
"BEV","ASEAN","NMC 622",0.00706651515263661,2066
"BEV","ASEAN","NMC 622",0.00706651515263661,2067
"BEV","ASEAN","NMC 622",0.00706651515263661,2068
"BEV","ASEAN","NMC 622",0.00706651515263661,2069
"BEV","ASEAN","NMC 622",0.00706651515263661,2070
"BEV","ASEAN","NMC 532",0.105732701870218,2022
"BEV","ASEAN","NMC 532",0.117068269330082,2023
"BEV","ASEAN","NMC 532",0.0959719339599928,2024
"BEV","ASEAN","NMC 532",0.0748896623170145,2025
"BEV","ASEAN","NMC 532",0.0544771573356977,2026
"BEV","ASEAN","NMC 532",0.0465511043993979,2027
"BEV","ASEAN","NMC 532",0.0389049425583064,2028
"BEV","ASEAN","NMC 532",0.0327058232981593,2029
"BEV","ASEAN","NMC 532",0.0260576892496731,2030
"BEV","ASEAN","NMC 532",0.0217807085754967,2031
"BEV","ASEAN","NMC 532",0.0188186782551885,2032
"BEV","ASEAN","NMC 532",0.0167518785911739,2033
"BEV","ASEAN","NMC 532",0.0149123149390306,2034
"BEV","ASEAN","NMC 532",0.0129241687944265,2035
"BEV","ASEAN","NMC 532",0.0116558520430844,2036
"BEV","ASEAN","NMC 532",0.0103271303219824,2037
"BEV","ASEAN","NMC 532",0.00907493858771061,2038
"BEV","ASEAN","NMC 532",0.0078379522246905,2039
"BEV","ASEAN","NMC 532",0.00665132972110595,2040
"BEV","ASEAN","NMC 532",0.00625788579949429,2041
"BEV","ASEAN","NMC 532",0.00588271176433455,2042
"BEV","ASEAN","NMC 532",0.00552568143153986,2043
"BEV","ASEAN","NMC 532",0.00518653682874469,2044
"BEV","ASEAN","NMC 532",0.00486491384103864,2045
"BEV","ASEAN","NMC 532",0.00456036427618784,2046
"BEV","ASEAN","NMC 532",0.00427237481047394,2047
"BEV","ASEAN","NMC 532",0.00400038319202998,2048
"BEV","ASEAN","NMC 532",0.0037437920244892,2049
"BEV","ASEAN","NMC 532",0.00350198041636097,2050
"BEV","ASEAN","NMC 532",0.00350198041636097,2051
"BEV","ASEAN","NMC 532",0.00350198041636097,2052
"BEV","ASEAN","NMC 532",0.00350198041636097,2053
"BEV","ASEAN","NMC 532",0.00350198041636097,2054
"BEV","ASEAN","NMC 532",0.00350198041636097,2055
"BEV","ASEAN","NMC 532",0.00350198041636097,2056
"BEV","ASEAN","NMC 532",0.00350198041636097,2057
"BEV","ASEAN","NMC 532",0.00350198041636097,2058
"BEV","ASEAN","NMC 532",0.00350198041636097,2059
"BEV","ASEAN","NMC 532",0.00350198041636097,2060
"BEV","ASEAN","NMC 532",0.00350198041636097,2061
"BEV","ASEAN","NMC 532",0.00350198041636097,2062
"BEV","ASEAN","NMC 532",0.00350198041636097,2063
"BEV","ASEAN","NMC 532",0.00350198041636097,2064
"BEV","ASEAN","NMC 532",0.00350198041636097,2065
"BEV","ASEAN","NMC 532",0.00350198041636097,2066
"BEV","ASEAN","NMC 532",0.00350198041636097,2067
"BEV","ASEAN","NMC 532",0.00350198041636097,2068
"BEV","ASEAN","NMC 532",0.00350198041636097,2069
"BEV","ASEAN","NMC 532",0.00350198041636097,2070
"BEV","ASEAN","NMC 811",0.0938691381294708,2022
"BEV","ASEAN","NMC 811",0.0911815133266367,2023
"BEV","ASEAN","NMC 811",0.104608339133916,2024
"BEV","ASEAN","NMC 811",0.128363720557393,2025
"BEV","ASEAN","NMC 811",0.148925037117853,2026
"BEV","ASEAN","NMC 811",0.158490288215603,2027
"BEV","ASEAN","NMC 811",0.169001396419732,2028
"BEV","ASEAN","NMC 811",0.178979477336428,2029
"BEV","ASEAN","NMC 811",0.180800446720756,2030
"BEV","ASEAN","NMC 811",0.178699566023864,2031
"BEV","ASEAN","NMC 811",0.175909315312825,2032
"BEV","ASEAN","NMC 811",0.171803261589849,2033
"BEV","ASEAN","NMC 811",0.167336554106591,2034
"BEV","ASEAN","NMC 811",0.163128970672453,2035
"BEV","ASEAN","NMC 811",0.157275053087099,2036
"BEV","ASEAN","NMC 811",0.150770173488282,2037
"BEV","ASEAN","NMC 811",0.143549822810669,2038
"BEV","ASEAN","NMC 811",0.135662521834601,2039
"BEV","ASEAN","NMC 811",0.127591662625123,2040
"BEV","ASEAN","NMC 811",0.130515056233453,2041
"BEV","ASEAN","NMC 811",0.13339197820449,2042
"BEV","ASEAN","NMC 811",0.136225104171181,2043
