"Powertrain","Country","chemistry","share_units","year"
"BEV","Algeria","NMC 622",1,2022
"BEV","Algeria","NMC 622",1,2023
"BEV","Algeria","NMC 622",1,2024
"BEV","Algeria","NMC 622",1,2025
"BEV","Algeria","NMC 622",1,2026
"BEV","Algeria","NMC 622",1,2027
"BEV","Algeria","NMC 622",1,2028
"BEV","Algeria","NMC 622",1,2029
"BEV","Algeria","NMC 622",1,2030
"BEV","Algeria","NMC 622",1,2031
"BEV","Algeria","NMC 622",1,2032
"BEV","Algeria","NMC 622",1,2033
"BEV","Algeria","NMC 622",1,2034
"BEV","Algeria","NMC 622",1,2035
"BEV","Algeria","NMC 622",1,2036
"BEV","Algeria","NMC 622",1,2037
"BEV","Algeria","NMC 622",1,2038
"BEV","Algeria","NMC 622",1,2039
"BEV","Algeria","NMC 622",1,2040
"BEV","Algeria","NMC 622",1,2041
"BEV","Algeria","NMC 622",1,2042
"BEV","Algeria","NMC 622",1,2043
"BEV","Algeria","NMC 622",1,2044
"BEV","Algeria","NMC 622",1,2045
"BEV","Algeria","NMC 622",1,2046
"BEV","Algeria","NMC 622",1,2047
"BEV","Algeria","NMC 622",1,2048
"BEV","Algeria","NMC 622",1,2049
"BEV","Algeria","NMC 622",1,2050
"BEV","Algeria","NMC 622",1,2051
"BEV","Algeria","NMC 622",1,2052
"BEV","Algeria","NMC 622",1,2053
"BEV","Algeria","NMC 622",1,2054
"BEV","Algeria","NMC 622",1,2055
"BEV","Algeria","NMC 622",1,2056
"BEV","Algeria","NMC 622",1,2057
"BEV","Algeria","NMC 622",1,2058
"BEV","Algeria","NMC 622",1,2059
"BEV","Algeria","NMC 622",1,2060
"BEV","Algeria","NMC 622",1,2061
"BEV","Algeria","NMC 622",1,2062
"BEV","Algeria","NMC 622",1,2063
"BEV","Algeria","NMC 622",1,2064
"BEV","Algeria","NMC 622",1,2065
"BEV","Algeria","NMC 622",1,2066
"BEV","Algeria","NMC 622",1,2067
"BEV","Algeria","NMC 622",1,2068
"BEV","Algeria","NMC 622",1,2069
"BEV","Algeria","NMC 622",1,2070
"BEV","Argentina","NMC 111",0.0183291973990831,2022
"BEV","Argentina","NMC 111",0.0138207194769497,2023
"BEV","Argentina","NMC 111",0.0109812614190997,2024
"BEV","Argentina","NMC 111",0.00967615969480176,2025
"BEV","Argentina","NMC 111",0.00804647370224992,2026
"BEV","Argentina","NMC 111",0.00642906315425601,2027
"BEV","Argentina","NMC 111",0.00427879852713871,2028
"BEV","Argentina","NMC 111",0.00370607905460299,2029
"BEV","Argentina","NMC 111",0.00306943615466689,2030
"BEV","Argentina","NMC 111",0.00256826740121895,2031
"BEV","Argentina","NMC 111",0.00205610159021752,2032
"BEV","Argentina","NMC 111",0.00155680377939303,2033
"BEV","Argentina","NMC 111",0.00100743356127039,2034
"BEV","Argentina","NMC 111",0.000793579954422626,2035
"BEV","Argentina","NMC 111",0.000664347549878381,2036
"BEV","Argentina","NMC 111",0.000530004042897743,2037
"BEV","Argentina","NMC 111",0.000392339887747274,2038
"BEV","Argentina","NMC 111",0.00025035370544865,2039
"BEV","Argentina","NMC 111",9.81683736793327e-05,2040
"BEV","Argentina","NMC 111",6.60510643417447e-05,2041
"BEV","Argentina","NMC 111",4.42635463063589e-05,2042
"BEV","Argentina","NMC 111",2.95483182485869e-05,2043
"BEV","Argentina","NMC 111",1.96521818663467e-05,2044
"BEV","Argentina","NMC 111",1.30244371059068e-05,2045
"BEV","Argentina","NMC 111",8.60323254510428e-06,2046
"BEV","Argentina","NMC 111",5.66509145228483e-06,2047
"BEV","Argentina","NMC 111",3.7195016604671e-06,2048
"BEV","Argentina","NMC 111",2.43548523184486e-06,2049
"BEV","Argentina","NMC 111",1.59073716123334e-06,2050
"BEV","Argentina","NMC 111",1.59073716123334e-06,2051
"BEV","Argentina","NMC 111",1.59073716123334e-06,2052
"BEV","Argentina","NMC 111",1.59073716123334e-06,2053
"BEV","Argentina","NMC 111",1.59073716123334e-06,2054
"BEV","Argentina","NMC 111",1.59073716123334e-06,2055
"BEV","Argentina","NMC 111",1.59073716123334e-06,2056
"BEV","Argentina","NMC 111",1.59073716123334e-06,2057
"BEV","Argentina","NMC 111",1.59073716123334e-06,2058
"BEV","Argentina","NMC 111",1.59073716123334e-06,2059
"BEV","Argentina","NMC 111",1.59073716123334e-06,2060
"BEV","Argentina","NMC 111",1.59073716123334e-06,2061
"BEV","Argentina","NMC 111",1.59073716123334e-06,2062
"BEV","Argentina","NMC 111",1.59073716123334e-06,2063
"BEV","Argentina","NMC 111",1.59073716123334e-06,2064
"BEV","Argentina","NMC 111",1.59073716123334e-06,2065
"BEV","Argentina","NMC 111",1.59073716123334e-06,2066
"BEV","Argentina","NMC 111",1.59073716123334e-06,2067
"BEV","Argentina","NMC 111",1.59073716123334e-06,2068
"BEV","Argentina","NMC 111",1.59073716123334e-06,2069
"BEV","Argentina","NMC 111",1.59073716123334e-06,2070
"BEV","Argentina","LFP",0.0222222222222222,2022
"BEV","Argentina","LFP",0.027091049625524,2023
"BEV","Argentina","LFP",0.0322369560499789,2024
"BEV","Argentina","LFP",0.0354155632449045,2025
"BEV","Argentina","LFP",0.0383897531207199,2026
"BEV","Argentina","LFP",0.040026597561471,2027
"BEV","Argentina","LFP",0.0418486515387775,2028
"BEV","Argentina","LFP",0.0429732422825562,2029
"BEV","Argentina","LFP",0.0439476149984055,2030
"BEV","Argentina","LFP",0.0460402133871431,2031
"BEV","Argentina","LFP",0.047646857021912,2032
"BEV","Argentina","LFP",0.0500038140638425,2033
"BEV","Argentina","LFP",0.0523202392265864,2034
"BEV","Argentina","LFP",0.0543838193293857,2035
"BEV","Argentina","LFP",0.0564140965522595,2036
"BEV","Argentina","LFP",0.0586158828714895,2037
"BEV","Argentina","LFP",0.0611856391870422,2038
"BEV","Argentina","LFP",0.0643381970938662,2039
"BEV","Argentina","LFP",0.0675344469178946,2040
"BEV","Argentina","LFP",0.069629808099913,2041
"BEV","Argentina","LFP",0.0715028266487086,2042
"BEV","Argentina","LFP",0.0731427693380742,2043
"BEV","Argentina","LFP",0.0745437150635697,2044
"BEV","Argentina","LFP",0.0757043523153118,2045
"BEV","Argentina","LFP",0.0766275912874084,2046
"BEV","Argentina","LFP",0.077320038938341,2047
"BEV","Argentina","LFP",0.0777913883902694,2048
"BEV","Argentina","LFP",0.0780537715612744,2049
"BEV","Argentina","LFP",0.0781211173224076,2050
"BEV","Argentina","LFP",0.0781211173224076,2051
"BEV","Argentina","LFP",0.0781211173224076,2052
"BEV","Argentina","LFP",0.0781211173224076,2053
"BEV","Argentina","LFP",0.0781211173224076,2054
"BEV","Argentina","LFP",0.0781211173224076,2055
"BEV","Argentina","LFP",0.0781211173224076,2056
"BEV","Argentina","LFP",0.0781211173224076,2057
"BEV","Argentina","LFP",0.0781211173224076,2058
"BEV","Argentina","LFP",0.0781211173224076,2059
"BEV","Argentina","LFP",0.0781211173224076,2060
"BEV","Argentina","LFP",0.0781211173224076,2061
"BEV","Argentina","LFP",0.0781211173224076,2062
"BEV","Argentina","LFP",0.0781211173224076,2063
"BEV","Argentina","LFP",0.0781211173224076,2064
"BEV","Argentina","LFP",0.0781211173224076,2065
"BEV","Argentina","LFP",0.0781211173224076,2066
"BEV","Argentina","LFP",0.0781211173224076,2067
"BEV","Argentina","LFP",0.0781211173224076,2068
"BEV","Argentina","LFP",0.0781211173224076,2069
"BEV","Argentina","LFP",0.0781211173224076,2070
"BEV","Argentina","NMC 622",0.675351593571256,2022
"BEV","Argentina","NMC 622",0.630348662122254,2023
"BEV","Argentina","NMC 622",0.628727774316974,2024
"BEV","Argentina","NMC 622",0.626425244988891,2025
"BEV","Argentina","NMC 622",0.631183790941981,2026
"BEV","Argentina","NMC 622",0.629639618646547,2027
"BEV","Argentina","NMC 622",0.62722215628132,2028
"BEV","Argentina","NMC 622",0.623213739142383,2029
"BEV","Argentina","NMC 622",0.61764041228733,2030
"BEV","Argentina","NMC 622",0.603286279970625,2031
"BEV","Argentina","NMC 622",0.58622153721192,2032
"BEV","Argentina","NMC 622",0.564670331389917,2033
"BEV","Argentina","NMC 622",0.539956640383457,2034
"BEV","Argentina","NMC 622",0.513814095115306,2035
"BEV","Argentina","NMC 622",0.486710614372544,2036
"BEV","Argentina","NMC 622",0.459281605430975,2037
"BEV","Argentina","NMC 622",0.429558286991604,2038
"BEV","Argentina","NMC 622",0.396702882411082,2039
"BEV","Argentina","NMC 622",0.361350053878443,2040
"BEV","Argentina","NMC 622",0.332561922709514,2041
"BEV","Argentina","NMC 622",0.304842196771951,2042
"BEV","Argentina","NMC 622",0.278354226112904,2043
"BEV","Argentina","NMC 622",0.253228160753664,2044
"BEV","Argentina","NMC 622",0.229560077987507,2045
"BEV","Argentina","NMC 622",0.207412648609869,2046
"BEV","Argentina","NMC 622",0.186817121053823,2047
"BEV","Argentina","NMC 622",0.167776326629264,2048
"BEV","Argentina","NMC 622",0.150268378362467,2049
"BEV","Argentina","NMC 622",0.134250743824833,2050
"BEV","Argentina","NMC 622",0.134250743824833,2051
"BEV","Argentina","NMC 622",0.134250743824833,2052
"BEV","Argentina","NMC 622",0.134250743824833,2053
"BEV","Argentina","NMC 622",0.134250743824833,2054
"BEV","Argentina","NMC 622",0.134250743824833,2055
"BEV","Argentina","NMC 622",0.134250743824833,2056
"BEV","Argentina","NMC 622",0.134250743824833,2057
"BEV","Argentina","NMC 622",0.134250743824833,2058
"BEV","Argentina","NMC 622",0.134250743824833,2059
"BEV","Argentina","NMC 622",0.134250743824833,2060
"BEV","Argentina","NMC 622",0.134250743824833,2061
"BEV","Argentina","NMC 622",0.134250743824833,2062
"BEV","Argentina","NMC 622",0.134250743824833,2063
"BEV","Argentina","NMC 622",0.134250743824833,2064
"BEV","Argentina","NMC 622",0.134250743824833,2065
"BEV","Argentina","NMC 622",0.134250743824833,2066
"BEV","Argentina","NMC 622",0.134250743824833,2067
"BEV","Argentina","NMC 622",0.134250743824833,2068
"BEV","Argentina","NMC 622",0.134250743824833,2069
"BEV","Argentina","NMC 622",0.134250743824833,2070
"BEV","Argentina","NMC 532",0.206283120923916,2022
"BEV","Argentina","NMC 532",0.246998301965166,2023
"BEV","Argentina","NMC 532",0.224214020957159,2024
"BEV","Argentina","NMC 532",0.190063210760925,2025
"BEV","Argentina","NMC 532",0.149143859433739,2026
"BEV","Argentina","NMC 532",0.132389011232193,2027
"BEV","Argentina","NMC 532",0.114786640983361,2028
"BEV","Argentina","NMC 532",0.099274689399523,2029
"BEV","Argentina","NMC 532",0.0849375275452777,2030
"BEV","Argentina","NMC 532",0.0775975934486532,2031
"BEV","Argentina","NMC 532",0.0732291650035016,2032
"BEV","Argentina","NMC 532",0.071630733526975,2033
"BEV","Argentina","NMC 532",0.0705138636174215,2034
"BEV","Argentina","NMC 532",0.0677366191114234,2035
"BEV","Argentina","NMC 532",0.0677556384061003,2036
"BEV","Argentina","NMC 532",0.0668553846007829,2037
"BEV","Argentina","NMC 532",0.0659058111137665,2038
"BEV","Argentina","NMC 532",0.0644833473333764,2039
"BEV","Argentina","NMC 532",0.0624016569448117,2040
"BEV","Argentina","NMC 532",0.0606130272892475,2041
"BEV","Argentina","NMC 532",0.0586400038852836,2042
"BEV","Argentina","NMC 532",0.0565121957857985,2043
"BEV","Argentina","NMC 532",0.0542602535017352,2044
"BEV","Argentina","NMC 532",0.0519148539321456,2045
"BEV","Argentina","NMC 532",0.0495057865702302,2046
"BEV","Argentina","NMC 532",0.0470611849342546,2047
"BEV","Argentina","NMC 532",0.0446069284258474,2048
"BEV","Argentina","NMC 532",0.0421662221519386,2049
"BEV","Argentina","NMC 532",0.0397593474946291,2050
"BEV","Argentina","NMC 532",0.0397593474946291,2051
"BEV","Argentina","NMC 532",0.0397593474946291,2052
"BEV","Argentina","NMC 532",0.0397593474946291,2053
"BEV","Argentina","NMC 532",0.0397593474946291,2054
"BEV","Argentina","NMC 532",0.0397593474946291,2055
"BEV","Argentina","NMC 532",0.0397593474946291,2056
"BEV","Argentina","NMC 532",0.0397593474946291,2057
"BEV","Argentina","NMC 532",0.0397593474946291,2058
"BEV","Argentina","NMC 532",0.0397593474946291,2059
"BEV","Argentina","NMC 532",0.0397593474946291,2060
"BEV","Argentina","NMC 532",0.0397593474946291,2061
"BEV","Argentina","NMC 532",0.0397593474946291,2062
"BEV","Argentina","NMC 532",0.0397593474946291,2063
"BEV","Argentina","NMC 532",0.0397593474946291,2064
"BEV","Argentina","NMC 532",0.0397593474946291,2065
"BEV","Argentina","NMC 532",0.0397593474946291,2066
"BEV","Argentina","NMC 532",0.0397593474946291,2067
"BEV","Argentina","NMC 532",0.0397593474946291,2068
"BEV","Argentina","NMC 532",0.0397593474946291,2069
"BEV","Argentina","NMC 532",0.0397593474946291,2070
"BEV","Argentina","NMC 811",0.0778138658835222,2022
"BEV","Argentina","NMC 811",0.0817412668101067,2023
"BEV","Argentina","NMC 811",0.103839987256788,2024
"BEV","Argentina","NMC 811",0.138419821310478,2025
"BEV","Argentina","NMC 811",0.17323612280131,2026
"BEV","Argentina","NMC 811",0.191515709405533,2027
"BEV","Argentina","NMC 811",0.211863752669402,2028
"BEV","Argentina","NMC 811",0.230832250120935,2029
"BEV","Argentina","NMC 811",0.25040500901432,2030
"BEV","Argentina","NMC 811",0.270507645792359,2031
"BEV","Argentina","NMC 811",0.290846339172449,2032
"BEV","Argentina","NMC 811",0.312138317239873,2033
"BEV","Argentina","NMC 811",0.336201823211264,2034
"BEV","Argentina","NMC 811",0.363271886489462,2035
"BEV","Argentina","NMC 811",0.388455303119217,2036
"BEV","Argentina","NMC 811",0.414717123053855,2037
"BEV","Argentina","NMC 811",0.44295792281984,2038
"BEV","Argentina","NMC 811",0.474225219456227,2039
"BEV","Argentina","NMC 811",0.508615673885171,2040
"BEV","Argentina","NMC 811",0.537129190836984,2041
"BEV","Argentina","NMC 811",0.56497070914775,2042
"BEV","Argentina","NMC 811",0.591961260444974,2043
"BEV","Argentina","NMC 811",0.617948218499165,2044
"BEV","Argentina","NMC 811",0.642807691327929,2045
"BEV","Argentina","NMC 811",0.666445370299948,2046
"BEV","Argentina","NMC 811",0.688795989982129,2047
"BEV","Argentina","NMC 811",0.709821637052958,2048
"BEV","Argentina","NMC 811",0.729509192439088,2049
"BEV","Argentina","NMC 811",0.747867200620969,2050
"BEV","Argentina","NMC 811",0.747867200620969,2051
"BEV","Argentina","NMC 811",0.747867200620969,2052
"BEV","Argentina","NMC 811",0.747867200620969,2053
"BEV","Argentina","NMC 811",0.747867200620969,2054
"BEV","Argentina","NMC 811",0.747867200620969,2055
"BEV","Argentina","NMC 811",0.747867200620969,2056
"BEV","Argentina","NMC 811",0.747867200620969,2057
"BEV","Argentina","NMC 811",0.747867200620969,2058
"BEV","Argentina","NMC 811",0.747867200620969,2059
"BEV","Argentina","NMC 811",0.747867200620969,2060
"BEV","Argentina","NMC 811",0.747867200620969,2061
"BEV","Argentina","NMC 811",0.747867200620969,2062
"BEV","Argentina","NMC 811",0.747867200620969,2063
"BEV","Argentina","NMC 811",0.747867200620969,2064
"BEV","Argentina","NMC 811",0.747867200620969,2065
"BEV","Argentina","NMC 811",0.747867200620969,2066
"BEV","Argentina","NMC 811",0.747867200620969,2067
"BEV","Argentina","NMC 811",0.747867200620969,2068
"BEV","Argentina","NMC 811",0.747867200620969,2069
"BEV","Argentina","NMC 811",0.747867200620969,2070
"BEV","Australia","NMC 111",0.0142194580381122,2022
"BEV","Australia","NMC 111",0.00985603048657095,2023
"BEV","Australia","NMC 111",0.00675100312735674,2024
"BEV","Australia","NMC 111",0.00510873372511382,2025
"BEV","Australia","NMC 111",0.00372831113042896,2026
"BEV","Australia","NMC 111",0.00279717796479048,2027
"BEV","Australia","NMC 111",0.00174331962237638,2028
"BEV","Australia","NMC 111",0.00143051443328764,2029
"BEV","Australia","NMC 111",0.00112502167817229,2030
"BEV","Australia","NMC 111",0.000888665526333398,2031
"BEV","Australia","NMC 111",0.000675226056183959,2032
"BEV","Australia","NMC 111",0.000483528562248717,2033
"BEV","Australia","NMC 111",0.000295347301135568,2034
"BEV","Australia","NMC 111",0.000219417758004166,2035
"BEV","Australia","NMC 111",0.000174346114713731,2036
"BEV","Australia","NMC 111",0.000132041466968037,2037
"BEV","Australia","NMC 111",9.26154605328948e-05,2038
"BEV","Australia","NMC 111",5.57864214163134e-05,2039
"BEV","Australia","NMC 111",2.06258442754874e-05,2040
"BEV","Australia","NMC 111",1.32763508912325e-05,2041
"BEV","Australia","NMC 111",8.5408881625275e-06,2042
"BEV","Australia","NMC 111",5.49170489666638e-06,2043
"BEV","Australia","NMC 111",3.5294844689851e-06,2044
"BEV","Australia","NMC 111",2.26742640787926e-06,2045
"BEV","Australia","NMC 111",1.45609245531866e-06,2046
"BEV","Australia","NMC 111",9.34744225655531e-07,2047
"BEV","Australia","NMC 111",5.99870417857116e-07,2048
"BEV","Australia","NMC 111",3.84852466197636e-07,2049
"BEV","Australia","NMC 111",2.46838793950895e-07,2050
"BEV","Australia","NMC 111",2.46838793950895e-07,2051
"BEV","Australia","NMC 111",2.46838793950895e-07,2052
"BEV","Australia","NMC 111",2.46838793950895e-07,2053
"BEV","Australia","NMC 111",2.46838793950895e-07,2054
"BEV","Australia","NMC 111",2.46838793950895e-07,2055
"BEV","Australia","NMC 111",2.46838793950895e-07,2056
"BEV","Australia","NMC 111",2.46838793950895e-07,2057
"BEV","Australia","NMC 111",2.46838793950895e-07,2058
