"Powertrain","Region","chemistry","share_units","year"
"BEV","ASEAN","NMC 111",0.021762848783639,2022
"BEV","ASEAN","NMC 111",0.0151740860169397,2023
"BEV","ASEAN","NMC 111",0.0108883072861875,2024
"BEV","ASEAN","NMC 111",0.00883188686543263,2025
"BEV","ASEAN","NMC 111",0.00680834125464536,2026
"BEV","ASEAN","NMC 111",0.00523663617279951,2027
"BEV","ASEAN","NMC 111",0.00335940162498665,2028
"BEV","ASEAN","NMC 111",0.00282831571916286,2029
"BEV","ASEAN","NMC 111",0.00228520378781553,2030
"BEV","ASEAN","NMC 111",0.0018368907841713,2031
"BEV","ASEAN","NMC 111",0.00141724633639075,2032
"BEV","ASEAN","NMC 111",0.00103080099806177,2033
"BEV","ASEAN","NMC 111",0.000638685989057622,2034
"BEV","ASEAN","NMC 111",0.000482279888296701,2035
"BEV","ASEAN","NMC 111",0.000388286242225789,2036
"BEV","ASEAN","NMC 111",0.000298018862523531,2037
"BEV","ASEAN","NMC 111",0.000211781703134289,2038
"BEV","ASEAN","NMC 111",0.000129234109896104,2039
"BEV","ASEAN","NMC 111",4.84775437242439e-05,2040
"BEV","ASEAN","NMC 111",3.15935285547826e-05,2041
"BEV","ASEAN","NMC 111",2.05724701063566e-05,2042
"BEV","ASEAN","NMC 111",1.33854533169487e-05,2043
"BEV","ASEAN","NMC 111",8.70288163792542e-06,2044
"BEV","ASEAN","NMC 111",5.65456413775867e-06,2045
"BEV","ASEAN","NMC 111",3.67165516744171e-06,2046
"BEV","ASEAN","NMC 111",2.38270385718647e-06,2047
"BEV","ASEAN","NMC 111",1.5453992113426e-06,2048
"BEV","ASEAN","NMC 111",1.00181880043352e-06,2049
"BEV","ASEAN","NMC 111",6.49126809506861e-07,2050
"BEV","ASEAN","NMC 111",6.49126809506861e-07,2051
"BEV","ASEAN","NMC 111",6.49126809506861e-07,2052
"BEV","ASEAN","NMC 111",6.49126809506861e-07,2053
"BEV","ASEAN","NMC 111",6.49126809506861e-07,2054
"BEV","ASEAN","NMC 111",6.49126809506861e-07,2055
"BEV","ASEAN","NMC 111",6.49126809506861e-07,2056
"BEV","ASEAN","NMC 111",6.49126809506861e-07,2057
"BEV","ASEAN","NMC 111",6.49126809506861e-07,2058
"BEV","ASEAN","NMC 111",6.49126809506861e-07,2059
"BEV","ASEAN","NMC 111",6.49126809506861e-07,2060
"BEV","ASEAN","NMC 111",6.49126809506861e-07,2061
"BEV","ASEAN","NMC 111",6.49126809506861e-07,2062
"BEV","ASEAN","NMC 111",6.49126809506861e-07,2063
"BEV","ASEAN","NMC 111",6.49126809506861e-07,2064
"BEV","ASEAN","NMC 111",6.49126809506861e-07,2065
"BEV","ASEAN","NMC 111",6.49126809506861e-07,2066
"BEV","ASEAN","NMC 111",6.49126809506861e-07,2067
"BEV","ASEAN","NMC 111",6.49126809506861e-07,2068
"BEV","ASEAN","NMC 111",6.49126809506861e-07,2069
"BEV","ASEAN","NMC 111",6.49126809506861e-07,2070
"BEV","ASEAN","LFP",0.411910220827803,2022
"BEV","ASEAN","LFP",0.464344715609302,2023
"BEV","ASEAN","LFP",0.499005062575843,2024
"BEV","ASEAN","LFP",0.504646666912468,2025
"BEV","ASEAN","LFP",0.507100250286902,2026
"BEV","ASEAN","LFP",0.508974670910732,2027
"BEV","ASEAN","LFP",0.512937375106499,2028
"BEV","ASEAN","LFP",0.511981320659836,2029
"BEV","ASEAN","LFP",0.510792401702516,2030
"BEV","ASEAN","LFP",0.514071124221213,2031
"BEV","ASEAN","LFP",0.512717119038286,2032
"BEV","ASEAN","LFP",0.516876599541531,2033
"BEV","ASEAN","LFP",0.5178255577177,2034
"BEV","ASEAN","LFP",0.515965844025589,2035
"BEV","ASEAN","LFP",0.514739017011343,2036
"BEV","ASEAN","LFP",0.514544176340279,2037
"BEV","ASEAN","LFP",0.51560635382116,2038
"BEV","ASEAN","LFP",0.518483338865763,2039
"BEV","ASEAN","LFP",0.520639535906239,2040
"BEV","ASEAN","LFP",0.519943672544073,2041
"BEV","ASEAN","LFP",0.518807482346541,2042
"BEV","ASEAN","LFP",0.517266677111825,2043
"BEV","ASEAN","LFP",0.515354558213054,2044
"BEV","ASEAN","LFP",0.513102116323156,2045
"BEV","ASEAN","LFP",0.51053813183404,2046
"BEV","ASEAN","LFP",0.507689279638141,2047
"BEV","ASEAN","LFP",0.504580239037477,2048
"BEV","ASEAN","LFP",0.50123380794197,2049
"BEV","ASEAN","LFP",0.497671019751653,2050
"BEV","ASEAN","LFP",0.497671019751653,2051
"BEV","ASEAN","LFP",0.497671019751653,2052
"BEV","ASEAN","LFP",0.497671019751653,2053
"BEV","ASEAN","LFP",0.497671019751653,2054
"BEV","ASEAN","LFP",0.497671019751653,2055
"BEV","ASEAN","LFP",0.497671019751653,2056
"BEV","ASEAN","LFP",0.497671019751653,2057
"BEV","ASEAN","LFP",0.497671019751653,2058
"BEV","ASEAN","LFP",0.497671019751653,2059
"BEV","ASEAN","LFP",0.497671019751653,2060
"BEV","ASEAN","LFP",0.497671019751653,2061
"BEV","ASEAN","LFP",0.497671019751653,2062
"BEV","ASEAN","LFP",0.497671019751653,2063
"BEV","ASEAN","LFP",0.497671019751653,2064
"BEV","ASEAN","LFP",0.497671019751653,2065
"BEV","ASEAN","LFP",0.497671019751653,2066
"BEV","ASEAN","LFP",0.497671019751653,2067
"BEV","ASEAN","LFP",0.497671019751653,2068
"BEV","ASEAN","LFP",0.497671019751653,2069
"BEV","ASEAN","LFP",0.497671019751653,2070
"BEV","ASEAN","NMC 622",0.206866275377406,2022
"BEV","ASEAN","NMC 622",0.178541917650643,2023
"BEV","ASEAN","NMC 622",0.160826738400822,2024
"BEV","ASEAN","NMC 622",0.147505152696209,2025
"BEV","ASEAN","NMC 622",0.13777773063289,2026
"BEV","ASEAN","NMC 622",0.132307427902418,2027
"BEV","ASEAN","NMC 622",0.127042476647699,2028
"BEV","ASEAN","NMC 622",0.122698060365802,2029
"BEV","ASEAN","NMC 622",0.118628627349867,2030
"BEV","ASEAN","NMC 622",0.111315083050442,2031
"BEV","ASEAN","NMC 622",0.104243747135243,2032
"BEV","ASEAN","NMC 622",0.0964546996682965,2033
"BEV","ASEAN","NMC 622",0.0883115141381591,2034
"BEV","ASEAN","NMC 622",0.080556751815542,2035
"BEV","ASEAN","NMC 622",0.0733862934087674,2036
"BEV","ASEAN","NMC 622",0.0666240596593498,2037
"BEV","ASEAN","NMC 622",0.0598185036432589,2038
"BEV","ASEAN","NMC 622",0.0528294340704689,2039
"BEV","ASEAN","NMC 622",0.0460346244364204,2040
"BEV","ASEAN","NMC 622",0.0410372552448385,2041
"BEV","ASEAN","NMC 622",0.0365512965466238,2042
"BEV","ASEAN","NMC 622",0.0325301155028377,2043
"BEV","ASEAN","NMC 622",0.0289302224608183,2044
"BEV","ASEAN","NMC 622",0.0257112981973898,2045
"BEV","ASEAN","NMC 622",0.0228361523676949,2046
"BEV","ASEAN","NMC 622",0.0202706319326561,2047
"BEV","ASEAN","NMC 622",0.017983494274429,2048
"BEV","ASEAN","NMC 622",0.0159462565479109,2049
"BEV","ASEAN","NMC 622",0.0141330303052732,2050
"BEV","ASEAN","NMC 622",0.0141330303052732,2051
"BEV","ASEAN","NMC 622",0.0141330303052732,2052
"BEV","ASEAN","NMC 622",0.0141330303052732,2053
"BEV","ASEAN","NMC 622",0.0141330303052732,2054
"BEV","ASEAN","NMC 622",0.0141330303052732,2055
"BEV","ASEAN","NMC 622",0.0141330303052732,2056
"BEV","ASEAN","NMC 622",0.0141330303052732,2057
"BEV","ASEAN","NMC 622",0.0141330303052732,2058
"BEV","ASEAN","NMC 622",0.0141330303052732,2059
"BEV","ASEAN","NMC 622",0.0141330303052732,2060
"BEV","ASEAN","NMC 622",0.0141330303052732,2061
"BEV","ASEAN","NMC 622",0.0141330303052732,2062
"BEV","ASEAN","NMC 622",0.0141330303052732,2063
"BEV","ASEAN","NMC 622",0.0141330303052732,2064
"BEV","ASEAN","NMC 622",0.0141330303052732,2065
"BEV","ASEAN","NMC 622",0.0141330303052732,2066
"BEV","ASEAN","NMC 622",0.0141330303052732,2067
"BEV","ASEAN","NMC 622",0.0141330303052732,2068
"BEV","ASEAN","NMC 622",0.0141330303052732,2069
"BEV","ASEAN","NMC 622",0.0141330303052732,2070
"BEV","ASEAN","NMC 532",0.105732701870218,2022
"BEV","ASEAN","NMC 532",0.117068269330082,2023
"BEV","ASEAN","NMC 532",0.0959719339599928,2024
"BEV","ASEAN","NMC 532",0.0748896623170145,2025
"BEV","ASEAN","NMC 532",0.0544771573356977,2026
"BEV","ASEAN","NMC 532",0.0465511043993979,2027
"BEV","ASEAN","NMC 532",0.0389049425583064,2028
"BEV","ASEAN","NMC 532",0.0327058232981593,2029
"BEV","ASEAN","NMC 532",0.0272985315948956,2030
"BEV","ASEAN","NMC 532",0.0239587794330464,2031
"BEV","ASEAN","NMC 532",0.0217900485060077,2032
"BEV","ASEAN","NMC 532",0.0204745182781015,2033
"BEV","ASEAN","NMC 532",0.0192982899210984,2034
"BEV","ASEAN","NMC 532",0.0177707320923364,2035
"BEV","ASEAN","NMC 532",0.0170952496631904,2036
"BEV","ASEAN","NMC 532",0.0162283476488295,2037
"BEV","ASEAN","NMC 532",0.0153575883792026,2038
"BEV","ASEAN","NMC 532",0.0143695790785992,2039
"BEV","ASEAN","NMC 532",0.0133026594422119,2040
"BEV","ASEAN","NMC 532",0.0125157715989886,2041
"BEV","ASEAN","NMC 532",0.0117654235286691,2042
"BEV","ASEAN","NMC 532",0.0110513628630797,2043
"BEV","ASEAN","NMC 532",0.0103730736574894,2044
"BEV","ASEAN","NMC 532",0.00972982768207728,2045
"BEV","ASEAN","NMC 532",0.00912072855237569,2046
"BEV","ASEAN","NMC 532",0.00854474962094787,2047
"BEV","ASEAN","NMC 532",0.00800076638405996,2048
"BEV","ASEAN","NMC 532",0.00748758404897841,2049
"BEV","ASEAN","NMC 532",0.00700396083272194,2050
"BEV","ASEAN","NMC 532",0.00700396083272194,2051
"BEV","ASEAN","NMC 532",0.00700396083272194,2052
"BEV","ASEAN","NMC 532",0.00700396083272194,2053
"BEV","ASEAN","NMC 532",0.00700396083272194,2054
"BEV","ASEAN","NMC 532",0.00700396083272194,2055
"BEV","ASEAN","NMC 532",0.00700396083272194,2056
"BEV","ASEAN","NMC 532",0.00700396083272194,2057
"BEV","ASEAN","NMC 532",0.00700396083272194,2058
"BEV","ASEAN","NMC 532",0.00700396083272194,2059
"BEV","ASEAN","NMC 532",0.00700396083272194,2060
"BEV","ASEAN","NMC 532",0.00700396083272194,2061
"BEV","ASEAN","NMC 532",0.00700396083272194,2062
"BEV","ASEAN","NMC 532",0.00700396083272194,2063
"BEV","ASEAN","NMC 532",0.00700396083272194,2064
"BEV","ASEAN","NMC 532",0.00700396083272194,2065
"BEV","ASEAN","NMC 532",0.00700396083272194,2066
"BEV","ASEAN","NMC 532",0.00700396083272194,2067
"BEV","ASEAN","NMC 532",0.00700396083272194,2068
"BEV","ASEAN","NMC 532",0.00700396083272194,2069
"BEV","ASEAN","NMC 532",0.00700396083272194,2070
"BEV","ASEAN","NMC 811",0.0938691381294708,2022
"BEV","ASEAN","NMC 811",0.0911815133266367,2023
"BEV","ASEAN","NMC 811",0.104608339133916,2024
"BEV","ASEAN","NMC 811",0.128363720557393,2025
"BEV","ASEAN","NMC 811",0.148925037117853,2026
"BEV","ASEAN","NMC 811",0.158490288215603,2027
"BEV","ASEAN","NMC 811",0.169001396419732,2028
"BEV","ASEAN","NMC 811",0.178979477336428,2029
"BEV","ASEAN","NMC 811",0.189409991802696,2030
"BEV","ASEAN","NMC 811",0.19656952262625,2031
"BEV","ASEAN","NMC 811",0.203684470362218,2032
"BEV","ASEAN","NMC 811",0.209981764165371,2033
"BEV","ASEAN","NMC 811",0.216553187667353,2034
"BEV","ASEAN","NMC 811",0.224302334674623,2035
"BEV","ASEAN","NMC 811",0.230670077861079,2036
"BEV","ASEAN","NMC 811",0.236924558338729,2037
"BEV","ASEAN","NMC 811",0.242930469371902,2038
"BEV","ASEAN","NMC 811",0.248714623363435,2039
"BEV","ASEAN","NMC 811",0.255183325250246,2040
"BEV","ASEAN","NMC 811",0.261030112466905,2041
"BEV","ASEAN","NMC 811",0.266783956408981,2042
"BEV","ASEAN","NMC 811",0.272450208342362,2043
