"Powertrain","Year","Country","chemistry","MWh","chem_share_mwh"
"BEV","2022","Algeria","NMC 622",0.0533,1
"BEV","2022","Argentina","NMC 111",0.0879378493677547,0.0191102767228257
"BEV","2022","Argentina","LFP",0.0856,0.0186022253129346
"BEV","2022","Argentina","NMC 622",3.10805222238763,0.675428594920818
"BEV","2022","Argentina","NMC 532",0.946682942463436,0.205729081724495
"BEV","2022","Argentina","NMC 811",0.373326985781175,0.0811298213189272
"BEV","2022","Australia","NMC 111",36.3912453361362,0.0156407970130135
"BEV","2022","Australia","LFP",579.6009,0.249109914808496
"BEV","2022","Australia","NMC 622",448.55261648532,0.192785939565977
"BEV","2022","Australia","NMC 532",192.154049492434,0.0825869644080396
"BEV","2022","Australia","NMC 811",162.89358868611,0.0700109471887414
"BEV","2022","Australia","NMC 721",0.075,3.22346697712808e-05
"BEV","2022","Australia","NMCA 89:4:4:3",906.72,0.389704263666877
"BEV","2022","Australia","NCA",0.3,0.000128938679085123
"BEV","2022","Austria","NMC 111",55.3277729363775,0.0219936794690209
"BEV","2022","Austria","LFP",20.4602,0.00813325852080688
"BEV","2022","Austria","NMC 622",609.835018614654,0.242419226666116
"BEV","2022","Austria","NMC 532",389.438724354536,0.154808155501349
"BEV","2022","Austria","NMC 811",264.313784094432,0.105068979611771
"BEV","2022","Austria","NMC 721",785.286,0.312163813196858
"BEV","2022","Austria","NMCA 89:4:4:3",390.96,0.155412887034079
"BEV","2022","Azerbaijan","NMC 622",0.27,0.529411764705882
"BEV","2022","Azerbaijan","NMC 811",0.24,0.470588235294118
"BEV","2022","Bahamas, The","LFP",6.6603,0.854377525495478
"BEV","2022","Bahamas, The","NMC 532",1.1352,0.145622474504522
"BEV","2022","Bahrain","NMC 111",0.320275230752878,0.0314294211900413
"BEV","2022","Bahrain","NMC 622",5.40180607026735,0.530092938408815
"BEV","2022","Bahrain","NMC 532",2.03653811346405,0.199850653411975
"BEV","2022","Bahrain","NMC 811",2.43168058551572,0.238626986989169
"BEV","2022","Belarus","NMC 111",0.0320725706027417,0.0341379144254834
"BEV","2022","Belarus","NMC 622",0.663062336520165,0.705760869100762
"BEV","2022","Belarus","NMC 532",0.108205791785907,0.115173807116452
"BEV","2022","Belarus","NMC 811",0.136159301091186,0.144927409357303
"BEV","2022","Belgium","NMC 111",88.9857944402203,0.030456448861524
