"Powertrain","Year","Region","chemistry","MWh","chem_share_mwh"
"BEV","2010","Australia/NZ","NMC 111",0.121818665790829,0.0634472217660568
"BEV","2010","Australia/NZ","NMC 622",0.870029052658195,0.45314013159281
"BEV","2010","Australia/NZ","NMC 532",0.410989357525105,0.214056957044326
"BEV","2010","Australia/NZ","NMC 811",0.51716292402587,0.269355689596808
"BEV","2010","Canada","NMC 111",1.0054481233267,0.0536256159304672
"BEV","2010","Canada","LMO",0.456,0.0243207782649045
"BEV","2010","Canada","NMC 622",9.62731166535126,0.513473053289772
"BEV","2010","Canada","NMC 532",3.39216059828143,0.180921021381027
"BEV","2010","Canada","NMC 811",4.26847961304061,0.227659531133829
"BEV","2010","China","NMC 111",0.850763796661055,0.049494664998607
"BEV","2010","China","LFP",3.78,0.219908080749316
"BEV","2010","China","NMC 622",6.07615602452799,0.353490954943742
"BEV","2010","China","NMC 532",2.87028973700736,0.166984102449669
"BEV","2010","China","NMC 811",3.61179044180359,0.210122196858665
"BEV","2010","EFTA","NMC 111",2.00011021895317,0.0483022739204595
"BEV","2010","EFTA","LMO",5.449,0.131592293313885
"BEV","2010","EFTA","NMC 622",18.7199895083317,0.452084116390757
"BEV","2010","EFTA","NMC 532",6.74793151386532,0.162961237481111
"BEV","2010","EFTA","NMC 811",8.49116875884976,0.205060078893788
"BEV","2010","European Union","NMC 111",2.00011021895317,0.0483022739204595
"BEV","2010","European Union","LMO",5.449,0.131592293313885
"BEV","2010","European Union","NMC 622",18.7199895083317,0.452084116390757
"BEV","2010","European Union","NMC 532",6.74793151386532,0.162961237481111
"BEV","2010","European Union","NMC 811",8.49116875884976,0.205060078893788
"BEV","2010","Japan","NMC 111",2.58052540366906,0.0627437610306618
"BEV","2010","Japan","LMO",0.456,0.0110873370939506
"BEV","2010","Japan","NMC 622",18.4301154321428,0.448116014203043
"BEV","2010","Japan","NMC 532",8.70612455690681,0.21168363540427
"BEV","2010","Japan","NMC 811",10.9552346072814,0.266369252268074
"BEV","2010","Mexico","NMC 111",1.0054481233267,0.0536256159304672
"BEV","2010","Mexico","LMO",0.456,0.0243207782649045
"BEV","2010","Mexico","NMC 622",9.62731166535126,0.513473053289772
"BEV","2010","Mexico","NMC 532",3.39216059828143,0.180921021381027
"BEV","2010","Mexico","NMC 811",4.26847961304061,0.227659531133829
"BEV","2010","Other Asia Pacific","NMC 111",2.58052540366906,0.0627437610306618
"BEV","2010","Other Asia Pacific","LMO",0.456,0.0110873370939506
"BEV","2010","Other Asia Pacific","NMC 622",18.4301154321428,0.448116014203043
"BEV","2010","Other Asia Pacific","NMC 532",8.70612455690681,0.21168363540427
"BEV","2010","Other Asia Pacific","NMC 811",10.9552346072814,0.266369252268074
"BEV","2010","South Korea","NMC 111",2.58052540366906,0.0627437610306618
"BEV","2010","South Korea","LMO",0.456,0.0110873370939506
"BEV","2010","South Korea","NMC 622",18.4301154321428,0.448116014203043
"BEV","2010","South Korea","NMC 532",8.70612455690681,0.21168363540427
"BEV","2010","South Korea","NMC 811",10.9552346072814,0.266369252268074
"BEV","2010","United Kingdom","NMC 111",2.00011021895317,0.0483022739204595
"BEV","2010","United Kingdom","LMO",5.449,0.131592293313885
"BEV","2010","United Kingdom","NMC 622",18.7199895083317,0.452084116390757
"BEV","2010","United Kingdom","NMC 532",6.74793151386532,0.162961237481111
"BEV","2010","United Kingdom","NMC 811",8.49116875884976,0.205060078893788
