"Powertrain","Year","chemistry","MWh","chem_share_mwh"
"BEV","2022","NMC 111",10193.8305032684,0.0224998101288014
"BEV","2022","LMO",0.7991,1.76377253557047e-06
"BEV","2022","LFP",120578.12746,0.266139894386764
"BEV","2022","NMC 622",97786.6101965543,0.215834485560277
"BEV","2022","NMC 532",58321.0387106752,0.128726124795183
"BEV","2022","NMC 811",67375.5252795022,0.148711176395469
"BEV","2022","NMC 721",31176.768,0.0688133239222277
"BEV","2022","NMCA 89:4:4:3",24888.225,0.0549332595596274
"BEV","2022","NCA",42742.0325,0.0943401614791144
"PHEV","2022","NMC 111",5415.93335076007,0.10266948769519
"PHEV","2022","LMO",539.3454,0.0102243348140512
"PHEV","2022","LFP",16891.771,0.320216177437094
"PHEV","2022","NMC 622",14138.3609106849,0.268019965819187
"PHEV","2022","NMC 532",4833.39238589531,0.0916262974358905
"PHEV","2022","NMC 811",10912.7738526597,0.206872726864114
"PHEV","2022","NCA",19.5712,0.000371009934473824
