"Powertrain","Year","Country","MWh","unit","kwh_veh_total"
"BEV","2022","Algeria",0.0533,1,53.3
"BEV","2022","Argentina",4.6016,90,51.1288888888889
"BEV","2022","Australia",2326.6874,33465,69.5259943224264
"BEV","2022","Austria",2515.6215,35813,70.2432496579454
"BEV","2022","Azerbaijan",0.51,5,102
"BEV","2022","Bahamas, The",7.7955,125,62.364
"BEV","2022","Bahrain",10.1903,117,87.0965811965812
"BEV","2022","Belarus",0.9395,12,78.2916666666667
"BEV","2022","Belgium",2921.739,40025,72.9978513429107
"BEV","2022","Bhutan",0.618,13,47.5384615384615
"BEV","2022","Bolivia",3.3032,53,62.3245283018868
"BEV","2022","Bosnia and Herzegovina",6.9468,102,68.1058823529412
"BEV","2022","Brazil",493.1449,8376,58.8759431709647
"BEV","2022","Bulgaria",66.3245,1025,64.7068292682927
"BEV","2022","Cambodia",5.5063,259,21.2598455598456
"BEV","2022","Canada",6334.8746,84996,74.531443832651
"BEV","2022","Chile",104.0221,1677,62.0286821705426
"BEV","2022","China",245677.6894,4663376,52.6823677524609
"BEV","2022","Colombia",135.8001,2133,63.6662447257384
"BEV","2022","Costa Rica",100.4672,1675,59.9804179104478
"BEV","2022","Croatia",81.8256,1442,56.7445214979195
"BEV","2022","Cyprus",22.0228,366,60.1715846994536
"BEV","2022","Czechia",289.1007,4056,71.2772928994083
"BEV","2022","Denmark",2377.3271,32655,72.8013198591334
"BEV","2022","Dominican Republic",10.289,209,49.2296650717703
"BEV","2022","Ecuador",16.1813,243,66.5897119341564
"BEV","2022","Egypt, Arab Rep.",2.6102,38,68.6894736842105
"BEV","2022","Estonia",54.1039,714,75.7757703081233
"BEV","2022","Ethiopia",29.236,592,49.3851351351351
"BEV","2022","Fiji",3.968,72,55.1111111111111
"BEV","2022","Finland",1076.2983,14721,73.1131241084165
"BEV","2022","France",11594.1701,228458,50.7496787155626
"BEV","2022","Georgia",4.1554,89,46.6898876404494
"BEV","2022","Germany",29881.88955,484906,61.6240870395499
"BEV","2022","Ghana",10.1076,171,59.1087719298246
"BEV","2022","Greece",207.543,3095,67.0575121163166
"BEV","2022","Hungary",334.7854,5361,62.4483118821115
"BEV","2022","Iceland",504.769,7098,71.1142575373345
"BEV","2022","India",1635.7624,49609,32.9730976234151
"BEV","2022","Indonesia",395.3331,10571,37.3978904550184
"BEV","2022","Iraq",0.484,6,80.6666666666667
"BEV","2022","Ireland",1128.6826,16381,68.9019351687931
"BEV","2022","Israel",1791.0341,27239,65.7525643378979
"BEV","2022","Italy",2877.7838,59139,48.6613537597863
"BEV","2022","Jamaica",1.8757,21,89.3190476190476
"BEV","2022","Japan",2810.3678,56432,49.8009604479728
"BEV","2022","Jordan",102.9539,1402,73.4335948644793
"BEV","2022","Kazakhstan",7.1225,81,87.9320987654321
"BEV","2022","Kenya",3.5149,61,57.6213114754098
"BEV","2022","Korea, Rep.",11393.4812,159129,71.5990246906598
"BEV","2022","Kuwait",6.1692,70,88.1314285714286
"BEV","2022","Lao PDR",16.1004,180,89.4466666666666
"BEV","2022","Latvia",51.3966,789,65.1414448669202
"BEV","2022","Lebanon",16.3454,223,73.2977578475336
"BEV","2022","Lithuania",81.0285,1354,59.8437961595273
"BEV","2022","Luxembourg",416.4874,6842,60.8721718795674
"BEV","2022","Macedonia, FYR",4.4002,73,60.2767123287671
"BEV","2022","Malaysia",110.8055,1306,84.843415007657
"BEV","2022","Malta",10.6258,187,56.8224598930481
"BEV","2022","Mauritius",9.3754,129,72.677519379845
"BEV","2022","Mexico",508.8842,7595,67.0025279789335
"BEV","2022","Moldova",2.1307,25,85.228
"BEV","2022","Mongolia",15.2373,413,36.8941888619855
"BEV","2022","Morocco",18.7306,900,20.8117777777778
"BEV","2022","Nepal",27.2439,463,58.8421166306695
"BEV","2022","Netherlands",5199.9933,77812,66.827652547165
"BEV","2022","New Zealand",1111.3543,16099,69.0325051245419
"BEV","2022","Nigeria",42.888,642,66.803738317757
"BEV","2022","Norway",10992.5326,145027,75.7964558323622
"BEV","2022","Oman",12.3348,153,80.6196078431372
"BEV","2022","Pakistan",0.8644,13,66.4923076923077
"BEV","2022","Panama",10.8138,154,70.2194805194805
"BEV","2022","Paraguay",10.2505,127,80.7125984251969
"BEV","2022","Peru",6.1924,104,59.5423076923077
"BEV","2022","Philippines",15.7919,267,59.1456928838951
"BEV","2022","Poland",859.8193,12760,67.3839576802508
"BEV","2022","Portugal",1222.0094,19343,63.1757948611901
"BEV","2022","Qatar",12.5913,153,82.2960784313726
"BEV","2022","Romania",485.0977,11619,41.7503829933729
"BEV","2022","Russian Federation",51.1978,762,67.1887139107612
"BEV","2022","Rwanda",0.075,1,75
"BEV","2022","Saudi Arabia",34.9728,388,90.1360824742268
"BEV","2022","Serbia",9.9054,139,71.2618705035971
"BEV","2022","Singapore",233.5607,3371,69.2852862652032
"BEV","2022","Slovak Republic",105.1308,1537,68.4
"BEV","2022","Slovenia",151.36,2329,64.9892657793044
"BEV","2022","South Africa",34.4765,440,78.3556818181818
"BEV","2022","Spain",2106.4937,35253,59.7536011119621
"BEV","2022","Sweden",6864.1844,99410,69.0492344834524
"BEV","2022","Switzerland",2941.74,42413,69.3593945252635
"BEV","2022","Thailand",524.2884,9902,52.9477277317714
"BEV","2022","Tunisia",3.178,47,67.6170212765958
"BEV","2022","Turkey",581.9156,7201,80.810387446188
"BEV","2022","Ukraine",28.4067,392,72.4660714285714
"BEV","2022","United Arab Emirates",330.9461,4094,80.8368588177821
"BEV","2022","United Kingdom",19249.0133,283989,67.7808411593407
"BEV","2022","United States",65778.3909,804887,81.7237586145633
"BEV","2022","Uruguay",79.1234,1368,57.8387426900585
"BEV","2022","Vietnam",466.4925,7279,64.0874433301278
"BEV","2022","Zambia",2.106,39,54
"BEV","2022","Zimbabwe",6.1799,109,56.6963302752294
"PHEV","2022","Argentina",0.5396,41,13.1609756097561
"PHEV","2022","Australia",111.83405,7256,15.4126309261301
"PHEV","2022","Austria",195.9889,13272,14.7670961422544
"PHEV","2022","Bahrain",0.6089,37,16.4567567567568
"PHEV","2022","Belarus",0.7006,44,15.9227272727273
"PHEV","2022","Belgium",927.2981,60601,15.3016963416445
"PHEV","2022","Bosnia and Herzegovina",1.9721,123,16.0333333333333
"PHEV","2022","Brazil",43.2284,2544,16.9922955974843
"PHEV","2022","Bulgaria",8.0216,456,17.5912280701754
"PHEV","2022","Canada",445.4308,28845,15.4422187554169
"PHEV","2022","Chile",8.749,623,14.0433386837881
"PHEV","2022","China",32504.06495,1517400,21.4208942599183
"PHEV","2022","Colombia",45.0065,2441,18.4377304383449
"PHEV","2022","Costa Rica",0.9502,65,14.6184615384615
"PHEV","2022","Croatia",10.3878,770,13.4906493506494
"PHEV","2022","Cyprus",2.5958,197,13.1766497461929
"PHEV","2022","Czechia",55.8311,3562,15.6740875912409
"PHEV","2022","Denmark",389.74055,26803,14.5409301197627
"PHEV","2022","Dominican Republic",0.108,9,12
"PHEV","2022","Ecuador",1.0092,81,12.4592592592593
"PHEV","2022","Egypt, Arab Rep.",0.0622,4,15.55
"PHEV","2022","Estonia",5.6736,331,17.1407854984894
"PHEV","2022","Fiji",0.0267,3,8.9
"PHEV","2022","Finland",249.29705,16171,15.4163038773112
"PHEV","2022","France",1809.20055,126689,14.2806443337622
"PHEV","2022","Georgia",0.2953,17,17.3705882352941
"PHEV","2022","Germany",5274.0453,359881,14.6549701151214
"PHEV","2022","Greece",74.5904,5333,13.9865741608851
"PHEV","2022","Hungary",69.3278,4908,14.1254686226569
"PHEV","2022","Iceland",73.1709,5037,14.5266825491364
"PHEV","2022","India",0.4034,23,17.5391304347826
"PHEV","2022","Indonesia",1.0695,79,13.5379746835443
"PHEV","2022","Iraq",0.0131,1,13.1
"PHEV","2022","Ireland",120.1972,7791,15.4276986266205
"PHEV","2022","Israel",138.74175,9005,15.4071904497501
"PHEV","2022","Italy",985.8209,70420,13.999160749787
"PHEV","2022","Jamaica",0.1794,12,14.95
"PHEV","2022","Japan",519.44095,37334,13.9133484223496
"PHEV","2022","Jordan",1.6025,103,15.5582524271845
"PHEV","2022","Kazakhstan",1.3381,69,19.3927536231884
"PHEV","2022","Korea, Rep.",212.8362,12731,16.7179483151363
"PHEV","2022","Kuwait",1.4742,83,17.7614457831325
"PHEV","2022","Latvia",3.8906,252,15.4388888888889
"PHEV","2022","Lebanon",1.3067,79,16.5405063291139
"PHEV","2022","Lithuania",10.529,707,14.8925035360679
"PHEV","2022","Luxembourg",63.7163,3952,16.1225455465587
"PHEV","2022","Macedonia, FYR",0.4257,32,13.303125
"PHEV","2022","Madagascar",0.0264,2,13.2
"PHEV","2022","Malaysia",29.2253,1864,15.6788090128755
"PHEV","2022","Malta",1.256,101,12.4356435643564
"PHEV","2022","Mauritius",0.5253,34,15.45
"PHEV","2022","Mexico",13.8581,833,16.6363745498199
"PHEV","2022","Moldova",0.7464,44,16.9636363636364
"PHEV","2022","Morocco",2.2827,120,19.0225
"PHEV","2022","Nepal",1.506,96,15.6875
"PHEV","2022","Netherlands",525.43785,34410,15.2699171752398
"PHEV","2022","New Zealand",102.1715,7312,13.9731263676149
"PHEV","2022","Norway",270.68985,16129,16.7828042656085
"PHEV","2022","Oman",1.0684,63,16.9587301587302
