"Powertrain","Year","Region","MWh","unit","kwh_veh_total"
"BEV","2010","Australia/NZ",1.92,120,16
"BEV","2010","Canada",18.7494,515,36.4066019417476
"BEV","2010","China",17.189,646,26.6083591331269
"BEV","2010","EFTA",41.4082,1866,22.1908896034298
"BEV","2010","European Union",41.4082,1866,22.1908896034298
"BEV","2010","Japan",41.128,2561,16.059351815697
"BEV","2010","Mexico",18.7494,515,36.4066019417476
"BEV","2010","Other Asia Pacific",41.128,2561,16.059351815697
"BEV","2010","South Korea",41.128,2561,16.059351815697
"BEV","2010","United Kingdom",41.4082,1866,22.1908896034298
"BEV","2010","United States",18.7494,515,36.4066019417476
"BEV","2011","ASEAN",0.032,2,16
"BEV","2011","Australia/NZ",1.446,67,21.5820895522388
"BEV","2011","Brazil",0.616,26,23.6923076923077
"BEV","2011","Canada",268.6658,10876,24.7026296432512
"BEV","2011","China",95.3841,3568,26.7332118834081
"BEV","2011","EFTA",237.3271,12152,19.5298798551679
"BEV","2011","European Union",237.3271,12152,19.5298798551679
"BEV","2011","Japan",319.104,14789,21.5771181283386
"BEV","2011","Mexico",268.6658,10876,24.7026296432512
"BEV","2011","Middle East",0.048,3,16
"BEV","2011","Other Asia Pacific",319.104,14789,21.5771181283386
"BEV","2011","Other Europe",0.656,41,16
"BEV","2011","Other Latin America and Caribbean",0.072,3,24
"BEV","2011","South Korea",319.104,14789,21.5771181283386
"BEV","2011","United Kingdom",237.3271,12152,19.5298798551679
"BEV","2011","United States",268.6658,10876,24.7026296432512
"BEV","2012","ASEAN",0.24,10,24
"BEV","2012","Australia/NZ",4.123,197,20.9289340101523
"BEV","2012","Brazil",1.024,51,20.078431372549
"BEV","2012","Canada",511.6338,15416,33.1884924753503
"BEV","2012","China",269.1405,9216,29.20361328125
"BEV","2012","EFTA",540.111,31980,16.8890243902439
"BEV","2012","European Union",540.111,31980,16.8890243902439
"BEV","2012","Japan",322.8805,14553,22.1865251150965
"BEV","2012","Mexico",511.6338,15416,33.1884924753503
"BEV","2012","Middle East",16.902,804,21.0223880597015
"BEV","2012","Other Asia Pacific",322.8805,14553,22.1865251150965
"BEV","2012","Other Europe",2.808,141,19.9148936170213
"BEV","2012","Other Latin America and Caribbean",2.112,88,24
"BEV","2012","South Korea",322.8805,14553,22.1865251150965
"BEV","2012","United Kingdom",540.111,31980,16.8890243902439
"BEV","2012","United States",511.6338,15416,33.1884924753503
"BEV","2013","ASEAN",0.076,4,19
"BEV","2013","Australia/NZ",4.848,209,23.1961722488038
"BEV","2013","Brazil",1.232,22,56
"BEV","2013","Canada",2090.6666,48361,43.2304253427348
"BEV","2013","China",332.5045,11744,28.3127128746594
"BEV","2013","EFTA",1067.2589,41618,25.6441659858715
"BEV","2013","European Union",1067.2589,41618,25.6441659858715
"BEV","2013","India",0.504,21,24
"BEV","2013","Japan",390.1336,17526,22.260276161132
"BEV","2013","Mexico",2090.6666,48361,43.2304253427348
"BEV","2013","Middle East",11.752,557,21.0987432675045
"BEV","2013","Other Asia Pacific",390.1336,17526,22.260276161132
"BEV","2013","Other Europe",0.066,3,22
"BEV","2013","Other Latin America and Caribbean",0.288,12,24
"BEV","2013","South Korea",390.1336,17526,22.260276161132
"BEV","2013","United Kingdom",1067.2589,41618,25.6441659858715
"BEV","2013","United States",2090.6666,48361,43.2304253427348
"BEV","2014","ASEAN",0.2982,15,19.88
"BEV","2014","Africa",3.5735,175,20.42
"BEV","2014","Australia/NZ",10.941,312,35.0673076923077
"BEV","2014","Brazil",2.3985,102,23.5147058823529
"BEV","2014","Canada",2505.606,66877,37.4658851324073
"BEV","2014","China",1325.252,45522,29.1123412855323
"BEV","2014","EFTA",1953.5463,67110,29.109615556549
"BEV","2014","European Union",1953.5463,67110,29.109615556549
"BEV","2014","India",6.16,490,12.5714285714286
"BEV","2014","Japan",483.0967,19249,25.0972362200634
"BEV","2014","Mexico",2505.606,66877,37.4658851324073
"BEV","2014","Middle East",0.3453,39,8.85384615384615
"BEV","2014","Other Asia Pacific",483.0967,19249,25.0972362200634
"BEV","2014","Other Europe",2.1699,100,21.699
"BEV","2014","Other Latin America and Caribbean",1.0073,52,19.3711538461538
"BEV","2014","South Korea",483.0967,19249,25.0972362200634
"BEV","2014","United Kingdom",1953.5463,67110,29.109615556549
"BEV","2014","United States",2505.606,66877,37.4658851324073
"BEV","2015","ASEAN",1.36,71,19.1549295774648
"BEV","2015","Africa",2.6815,136,19.7169117647059
"BEV","2015","Australia/NZ",61.6655,1019,60.5157016683022
"BEV","2015","Brazil",2.3955,195,12.2846153846154
"BEV","2015","Canada",3416.7214,76254,44.8071104466651
"BEV","2015","China",3496.1668,125198,27.9251010399527
"BEV","2015","EFTA",3350.1468,100986,33.1743687243776
"BEV","2015","European Union",3350.1468,100986,33.1743687243776
"BEV","2015","India",83.0094,3527,23.5354125318968
"BEV","2015","Japan",601.8384,18221,33.0299324954723
"BEV","2015","Mexico",3416.7214,76254,44.8071104466651
