"Region","Country","Powertrain","kwh_veh","Vehicle"
"Africa","Algeria","BEV",53.3,"Car"
"Other Latin America and Caribbean","Argentina","BEV",51.1288888888889,"Car"
"Australia/NZ","Australia","BEV",69.5259943224264,"Car"
"European Union","Austria","BEV",70.2432496579454,"Car"
"Other Europe","Azerbaijan","BEV",102,"Car"
"Other Latin America and Caribbean","Bahamas, The","BEV",62.364,"Car"
"Middle East","Bahrain","BEV",87.0965811965812,"Car"
"Other Europe","Belarus","BEV",78.2916666666667,"Car"
"European Union","Belgium","BEV",72.9978513429107,"Car"
"Other Asia Pacific","Bhutan","BEV",47.5384615384615,"Car"
"Other Latin America and Caribbean","Bolivia","BEV",62.3245283018868,"Car"
"Other Europe","Bosnia and Herzegovina","BEV",68.1058823529412,"Car"
"Brazil","Brazil","BEV",58.8759431709647,"Car"
"European Union","Bulgaria","BEV",64.7068292682927,"Car"
"ASEAN","Cambodia","BEV",21.2598455598456,"Car"
"Canada","Canada","BEV",74.531443832651,"Car"
"Other Latin America and Caribbean","Chile","BEV",62.0286821705426,"Car"
"China","China","BEV",52.6823677524609,"Car"
"Other Latin America and Caribbean","Colombia","BEV",63.6662447257384,"Car"
"Other Latin America and Caribbean","Costa Rica","BEV",59.9804179104478,"Car"
"European Union","Croatia","BEV",56.7445214979195,"Car"
"European Union","Cyprus","BEV",60.1715846994536,"Car"
"European Union","Czechia","BEV",71.2772928994083,"Car"
"European Union","Denmark","BEV",72.8013198591334,"Car"
"Other Latin America and Caribbean","Dominican Republic","BEV",49.2296650717703,"Car"
"Other Latin America and Caribbean","Ecuador","BEV",66.5897119341564,"Car"
"Middle East","Egypt, Arab Rep.","BEV",68.6894736842105,"Car"
"European Union","Estonia","BEV",75.7757703081233,"Car"
"Africa","Ethiopia","BEV",49.3851351351351,"Car"
"Other Asia Pacific","Fiji","BEV",55.1111111111111,"Car"
"European Union","Finland","BEV",73.1131241084165,"Car"
"European Union","France","BEV",50.7496787155626,"Car"
"Other Europe","Georgia","BEV",46.6898876404494,"Car"
