"Propulsion","year","ICCT_Country","chemistry","unit"
"BEV","2015","Algeria","NMC 622",0
"BEV","2015","Argentina","LFP",0
"BEV","2015","Argentina","NMC 622",0
"BEV","2015","Argentina","NMC 532",0
"BEV","2015","Australia","NMC 111",9.77087215197274
"BEV","2015","Australia","LMO",139
"BEV","2015","Australia","LFP",0
"BEV","2015","Australia","NMC 622",69.7835802652927
"BEV","2015","Australia","NMC 532",32.9647713848262
"BEV","2015","Australia","NMC 811",41.4807761979084
"BEV","2015","Australia","NMC 721",0
"BEV","2015","Australia","NMCA 89:4:4:3",0
"BEV","2015","Australia","NCA",600
"BEV","2015","Austria","NMC 111",243.980224798831
"BEV","2015","Austria","LMO",231
"BEV","2015","Austria","LFP",0
"BEV","2015","Austria","NMC 622",243.834798032429
"BEV","2015","Austria","NMC 532",406.399118056548
"BEV","2015","Austria","NMC 811",118.785859112192
"BEV","2015","Austria","NMC 721",0
"BEV","2015","Austria","NMCA 89:4:4:3",0
"BEV","2015","Austria","NCA",563
"BEV","2015","Azerbaijan","NMC 622",0
"BEV","2015","Azerbaijan","NMC 811",0
"BEV","2015","Bahamas, The","LFP",0
"BEV","2015","Bahamas, The","NMC 622",0
"BEV","2015","Bahamas, The","NMC 532",0
"BEV","2015","Bahrain","NMC 622",0
"BEV","2015","Bahrain","NMC 532",0
"BEV","2015","Bahrain","NMC 811",0
"BEV","2015","Belarus","NMC 622",0
"BEV","2015","Belarus","NMC 532",0
"BEV","2015","Belgium","NMC 111",66.9953803470879
"BEV","2015","Belgium","LMO",234
"BEV","2015","Belgium","LFP",0
"BEV","2015","Belgium","NMC 622",236.085040137914
"BEV","2015","Belgium","NMC 532",149.824029369257
"BEV","2015","Belgium","NMC 811",123.095550145741
"BEV","2015","Belgium","NMC 721",0
"BEV","2015","Belgium","NMCA 89:4:4:3",0
"BEV","2015","Belgium","NCA",894
"BEV","2015","Bermuda","LMO",0
"BEV","2015","Bhutan","NMC 622",0
"BEV","2015","Bolivia","LFP",0
"BEV","2015","Bosnia and Herzegovina","NMC 111",0
"BEV","2015","Bosnia and Herzegovina","NMC 622",0
"BEV","2015","Bosnia and Herzegovina","NMC 532",0
"BEV","2015","Bosnia and Herzegovina","NMC 721",0
"BEV","2015","Brazil","LMO",0
"BEV","2015","Brazil","LFP",0
"BEV","2015","Brazil","NMC 622",0
"BEV","2015","Brazil","NMC 532",0
"BEV","2015","Brazil","NMC 811",0
