"Region","Vehicle","Powertrain","Year","Scenario","Sales","scen_lifetime","EV_Stock","LIB_reuse_EV","LIB_recycling","LIB_Available","add_LIB","add_LIB_vector","LIB_Available_vector","LIB_recycling_vector","EV_Stock_vector","perc_add_lib","perc_lib_reuse_ev","perc_lib_available","perc_lib_recycling"
"ASEAN","Bus","BEV",2022,"Ambitious",385,"Baseline",385,0,6,0,6,"6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","385|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",0.0155844155844156,0,0,0.0155844155844156
"ASEAN","Bus","BEV",2023,"Ambitious",632,"Baseline",1011,0,18,0,18,"9|9|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","9|9|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","632|379|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",0.0284810126582278,0,0,0.0284810126582278
"ASEAN","Bus","BEV",2024,"Ambitious",915,"Baseline",1907,0,40,1,40,"13|14|13|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","13|14|13|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","915|622|370|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",0.0437158469945355,0,0.00109289617486339,0.0437158469945355
"ASEAN","Bus","BEV",2025,"Ambitious",1233,"Baseline",3138,0,78,2,78,"18|20|21|18|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","19|20|21|18|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1233|914|622|370|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",0.0632603406326034,0,0.0016220600162206,0.0632603406326034
"ASEAN","Bus","BEV",2026,"Ambitious",2048,"Baseline",5181,0,145,4,145,"30|28|31|31|26|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","31|28|30|30|25|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","2047|1232|913|621|369|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",0.07080078125,0,0.001953125,0.07080078125
"ASEAN","Bus","BEV",2027,"Ambitious",4149,"Baseline",9322,0,269,8,269,"61|46|41|45|43|34|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","2|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","63|47|42|43|41|33|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","4147|2046|1231|912|619|367|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",0.0648348999758978,0,0.00192817546396722,0.0648348999758978
"ASEAN","Bus","BEV",2028,"Ambitious",8366,"Baseline",17672,0,505,16,505,"122|93|69|60|63|56|42|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","4|3|2|2|2|2|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","126|95|70|60|60|54|39|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","8363|4145|2044|1229|910|617|365|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",0.0603633755677743,0,0.00191250298828592,0.0603633755677743
"ASEAN","Bus","BEV",2029,"Ambitious",16809,"Baseline",34450,16,957,16,941,"246|187|139|100|84|83|69|32|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","4|3|2|2|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","253|192|141|101|83|78|65|43|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","16802|8357|4141|2041|1226|907|614|362|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",0.0559819144505919,0.00095187102147659,0.00095187102147659,0.0569337854720685
"ASEAN","Bus","BEV",2030,"Ambitious",33665,"Baseline",68051,31,1835,31,1804,"493|376|281|203|140|111|102|79|19|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","8|6|5|3|2|2|2|2|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","507|384|284|204|139|109|94|71|43|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","33652|16792|8349|4135|2036|1222|902|609|355|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",0.0535868112282786,0.000920837665230952,0.000920837665230952,0.0545076488935096
"ASEAN","Bus","BEV",2031,"Ambitious",39010,"Baseline",106937,55,3150,55,3095,"571|754|564|409|284|185|137|114|72|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","10|12|9|7|5|3|2|2|2|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","597|768|570|410|281|181|130|103|70|39|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","38994|33631|16776|8337|4125|2029|1215|885|601|345|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",0.0793386311202256,0.00140989489874391,0.00140989489874391,0.0807485260189695
