"chemistry","Year","stationaryPower","ICCT_Region","ICCT_Country"
"LCO",2022,0,"China","China"
"LCO",2022,0,"ASEAN","Indonesia"
"LCO",2022,0,"ASEAN","Malaysia"
"LCO",2022,0,"ASEAN","Philippines"
"LCO",2022,0,"ASEAN","Singapore"
"LCO",2022,0,"ASEAN","Thailand"
"LCO",2022,0,"ASEAN","Vietnam"
"LCO",2022,0,"India","India"
"LCO",2022,0,"Japan","Japan"
"LCO",2022,0,"Other Asia Pacific","Bangladesh"
"LCO",2022,0,"Other Asia Pacific","Kazakhstan"
"LCO",2022,0,"Other Asia Pacific","Mongolia"
"LCO",2022,0,"Other Asia Pacific","Pakistan"
"LCO",2022,0,"Other Asia Pacific","Sri Lanka"
"LCO",2022,0,"Other Asia Pacific","Turkmenistan"
"LCO",2022,0,"Other Asia Pacific","Uzbekistan"
"LCO",2022,0,"South Korea","Korea, Rep."
"LCO",2022,0,"EFTA","Iceland"
"LCO",2022,0,"EFTA","Norway"
"LCO",2022,0,"EFTA","Switzerland"
"LCO",2022,0,"European Union","Austria"
"LCO",2022,0,"European Union","Belgium"
"LCO",2022,0,"European Union","Bulgaria"
"LCO",2022,0,"European Union","Croatia"
"LCO",2022,0,"European Union","Cyprus"
"LCO",2022,0,"European Union","Czechia"
"LCO",2022,0,"European Union","Denmark"
"LCO",2022,0,"European Union","Estonia"
"LCO",2022,0,"European Union","Finland"
"LCO",2022,0,"European Union","France"
"LCO",2022,0,"European Union","Germany"
"LCO",2022,0,"European Union","Greece"
"LCO",2022,0,"European Union","Hungary"
"LCO",2022,0,"European Union","Ireland"
"LCO",2022,0,"European Union","Italy"
"LCO",2022,0,"European Union","Latvia"
"LCO",2022,0,"European Union","Lithuania"
"LCO",2022,0,"European Union","Luxembourg"
"LCO",2022,0,"European Union","Malta"
"LCO",2022,0,"European Union","Netherlands"
"LCO",2022,0,"European Union","Poland"
"LCO",2022,0,"European Union","Portugal"
"LCO",2022,0,"European Union","Romania"
"LCO",2022,0,"European Union","Slovak Republic"
"LCO",2022,0,"European Union","Slovenia"
"LCO",2022,0,"European Union","Spain"
"LCO",2022,0,"European Union","Sweden"
"LCO",2022,0,"Other Europe","Albania"
"LCO",2022,0,"Other Europe","Azerbaijan"
"LCO",2022,0,"Other Europe","Belarus"
"LCO",2022,0,"Other Europe","Bosnia and Herzegovina"
"LCO",2022,0,"Other Europe","Georgia"
"LCO",2022,0,"Other Europe","Macedonia, FYR"
"LCO",2022,0,"Other Europe","Moldova"
"LCO",2022,0,"Other Europe","Montenegro"
"LCO",2022,0,"Other Europe","Russian Federation"
"LCO",2022,0,"Other Europe","Serbia"
"LCO",2022,0,"Other Europe","Ukraine"
"LCO",2022,0,"United Kingdom","United Kingdom"
"LCO",2022,0,"Canada","Canada"
"LCO",2022,0,"Mexico","Mexico"
"LCO",2022,0,"United States","United States"
"LCO",2022,0,"Brazil","Brazil"
"LCO",2022,0,"Other Latin America and Caribbean","Argentina"
"LCO",2022,0,"Other Latin America and Caribbean","Bolivia"
"LCO",2022,0,"Other Latin America and Caribbean","Chile"
"LCO",2022,0,"Other Latin America and Caribbean","Colombia"
"LCO",2022,0,"Other Latin America and Caribbean","Costa Rica"
"LCO",2022,0,"Other Latin America and Caribbean","Ecuador"
"LCO",2022,0,"Other Latin America and Caribbean","El Salvador"
"LCO",2022,0,"Other Latin America and Caribbean","Peru"
"LCO",2022,0,"Other Latin America and Caribbean","Trinidad and Tobago"
"LCO",2022,0,"Other Latin America and Caribbean","Uruguay"
"LCO",2022,0,"Other Latin America and Caribbean","Venezuela, RB"
"LCO",2022,0,"Africa","Algeria"
"LCO",2022,0,"Africa","Burundi"
"LCO",2022,0,"Africa","Kenya"
"LCO",2022,0,"Africa","Morocco"
"LCO",2022,0,"Africa","Nigeria"
"LCO",2022,0,"Africa","South Africa"
"LCO",2022,0,"Africa","Tunisia"
"LCO",2022,0,"Australia/NZ","Australia"
"LCO",2022,0,"Australia/NZ","New Zealand"
"LCO",2022,0,"Middle East","Egypt, Arab Rep."
"LCO",2022,0,"Middle East","Iran, Islamic Rep."
"LCO",2022,0,"Middle East","Iraq"
"LCO",2022,0,"Middle East","Israel"
"LCO",2022,0,"Middle East","Kuwait"
"LCO",2022,0,"Middle East","Oman"
"LCO",2022,0,"Middle East","Qatar"
"LCO",2022,0,"Middle East","Saudi Arabia"
"LCO",2022,0,"Middle East","Turkey"
"LCO",2022,0,"Middle East","United Arab Emirates"
"LCO",2023,0,"China","China"
"LCO",2023,0,"ASEAN","Indonesia"
"LCO",2023,0,"ASEAN","Malaysia"
"LCO",2023,0,"ASEAN","Philippines"
"LCO",2023,0,"ASEAN","Singapore"
"LCO",2023,0,"ASEAN","Thailand"
"LCO",2023,0,"ASEAN","Vietnam"
"LCO",2023,0,"India","India"
"LCO",2023,0,"Japan","Japan"
"LCO",2023,0,"Other Asia Pacific","Bangladesh"
"LCO",2023,0,"Other Asia Pacific","Kazakhstan"
"LCO",2023,0,"Other Asia Pacific","Mongolia"
"LCO",2023,0,"Other Asia Pacific","Pakistan"
"LCO",2023,0,"Other Asia Pacific","Sri Lanka"
"LCO",2023,0,"Other Asia Pacific","Turkmenistan"
"LCO",2023,0,"Other Asia Pacific","Uzbekistan"
"LCO",2023,0,"South Korea","Korea, Rep."
"LCO",2023,0,"EFTA","Iceland"
"LCO",2023,0,"EFTA","Norway"
"LCO",2023,0,"EFTA","Switzerland"
"LCO",2023,0,"European Union","Austria"
"LCO",2023,0,"European Union","Belgium"
"LCO",2023,0,"European Union","Bulgaria"
"LCO",2023,0,"European Union","Croatia"
"LCO",2023,0,"European Union","Cyprus"
"LCO",2023,0,"European Union","Czechia"
"LCO",2023,0,"European Union","Denmark"
"LCO",2023,0,"European Union","Estonia"
"LCO",2023,0,"European Union","Finland"
"LCO",2023,0,"European Union","France"
"LCO",2023,0,"European Union","Germany"
"LCO",2023,0,"European Union","Greece"
"LCO",2023,0,"European Union","Hungary"
"LCO",2023,0,"European Union","Ireland"
"LCO",2023,0,"European Union","Italy"
"LCO",2023,0,"European Union","Latvia"
"LCO",2023,0,"European Union","Lithuania"
"LCO",2023,0,"European Union","Luxembourg"
"LCO",2023,0,"European Union","Malta"
"LCO",2023,0,"European Union","Netherlands"
"LCO",2023,0,"European Union","Poland"
"LCO",2023,0,"European Union","Portugal"
"LCO",2023,0,"European Union","Romania"
"LCO",2023,0,"European Union","Slovak Republic"
"LCO",2023,0,"European Union","Slovenia"
"LCO",2023,0,"European Union","Spain"
"LCO",2023,0,"European Union","Sweden"
"LCO",2023,0,"Other Europe","Albania"
"LCO",2023,0,"Other Europe","Azerbaijan"
"LCO",2023,0,"Other Europe","Belarus"
"LCO",2023,0,"Other Europe","Bosnia and Herzegovina"
"LCO",2023,0,"Other Europe","Georgia"
"LCO",2023,0,"Other Europe","Macedonia, FYR"
"LCO",2023,0,"Other Europe","Moldova"
"LCO",2023,0,"Other Europe","Montenegro"
"LCO",2023,0,"Other Europe","Russian Federation"
"LCO",2023,0,"Other Europe","Serbia"
"LCO",2023,0,"Other Europe","Ukraine"
"LCO",2023,0,"United Kingdom","United Kingdom"
"LCO",2023,0,"Canada","Canada"
"LCO",2023,0,"Mexico","Mexico"
"LCO",2023,0,"United States","United States"
"LCO",2023,0,"Brazil","Brazil"
"LCO",2023,0,"Other Latin America and Caribbean","Argentina"
"LCO",2023,0,"Other Latin America and Caribbean","Bolivia"
"LCO",2023,0,"Other Latin America and Caribbean","Chile"
"LCO",2023,0,"Other Latin America and Caribbean","Colombia"
"LCO",2023,0,"Other Latin America and Caribbean","Costa Rica"
"LCO",2023,0,"Other Latin America and Caribbean","Ecuador"
"LCO",2023,0,"Other Latin America and Caribbean","El Salvador"
"LCO",2023,0,"Other Latin America and Caribbean","Peru"
"LCO",2023,0,"Other Latin America and Caribbean","Trinidad and Tobago"
"LCO",2023,0,"Other Latin America and Caribbean","Uruguay"
"LCO",2023,0,"Other Latin America and Caribbean","Venezuela, RB"
"LCO",2023,0,"Africa","Algeria"
"LCO",2023,0,"Africa","Burundi"
"LCO",2023,0,"Africa","Kenya"
"LCO",2023,0,"Africa","Morocco"
"LCO",2023,0,"Africa","Nigeria"
"LCO",2023,0,"Africa","South Africa"
"LCO",2023,0,"Africa","Tunisia"
"LCO",2023,0,"Australia/NZ","Australia"
"LCO",2023,0,"Australia/NZ","New Zealand"
"LCO",2023,0,"Middle East","Egypt, Arab Rep."
"LCO",2023,0,"Middle East","Iran, Islamic Rep."
"LCO",2023,0,"Middle East","Iraq"
"LCO",2023,0,"Middle East","Israel"
"LCO",2023,0,"Middle East","Kuwait"
"LCO",2023,0,"Middle East","Oman"
"LCO",2023,0,"Middle East","Qatar"
"LCO",2023,0,"Middle East","Saudi Arabia"
"LCO",2023,0,"Middle East","Turkey"
"LCO",2023,0,"Middle East","United Arab Emirates"
"LCO",2024,0,"China","China"
"LCO",2024,0,"ASEAN","Indonesia"
"LCO",2024,0,"ASEAN","Malaysia"
"LCO",2024,0,"ASEAN","Philippines"
"LCO",2024,0,"ASEAN","Singapore"
"LCO",2024,0,"ASEAN","Thailand"
"LCO",2024,0,"ASEAN","Vietnam"
"LCO",2024,0,"India","India"
"LCO",2024,0,"Japan","Japan"
"LCO",2024,0,"Other Asia Pacific","Bangladesh"
"LCO",2024,0,"Other Asia Pacific","Kazakhstan"
"LCO",2024,0,"Other Asia Pacific","Mongolia"
"LCO",2024,0,"Other Asia Pacific","Pakistan"
"LCO",2024,0,"Other Asia Pacific","Sri Lanka"
"LCO",2024,0,"Other Asia Pacific","Turkmenistan"
"LCO",2024,0,"Other Asia Pacific","Uzbekistan"
"LCO",2024,0,"South Korea","Korea, Rep."
"LCO",2024,0,"EFTA","Iceland"
"LCO",2024,0,"EFTA","Norway"
"LCO",2024,0,"EFTA","Switzerland"
"LCO",2024,0,"European Union","Austria"
"LCO",2024,0,"European Union","Belgium"
"LCO",2024,0,"European Union","Bulgaria"
"LCO",2024,0,"European Union","Croatia"
"LCO",2024,0,"European Union","Cyprus"
"LCO",2024,0,"European Union","Czechia"
"LCO",2024,0,"European Union","Denmark"
"LCO",2024,0,"European Union","Estonia"
"LCO",2024,0,"European Union","Finland"
"LCO",2024,0,"European Union","France"
"LCO",2024,0,"European Union","Germany"
"LCO",2024,0,"European Union","Greece"
"LCO",2024,0,"European Union","Hungary"
"LCO",2024,0,"European Union","Ireland"
"LCO",2024,0,"European Union","Italy"
"LCO",2024,0,"European Union","Latvia"
"LCO",2024,0,"European Union","Lithuania"
"LCO",2024,0,"European Union","Luxembourg"
"LCO",2024,0,"European Union","Malta"
"LCO",2024,0,"European Union","Netherlands"
"LCO",2024,0,"European Union","Poland"
"LCO",2024,0,"European Union","Portugal"
"LCO",2024,0,"European Union","Romania"
"LCO",2024,0,"European Union","Slovak Republic"
