Mineral,Year,Scenario,Demand
Copper,2023,Ambitious-Baseline-Baseline-Baseline-Baseline,21136.03
Copper,2023,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,21136.03
Copper,2023,Ambitious-Baseline-High Capacity-Baseline-Baseline,21136.03
Copper,2023,Ambitious-Baseline-Low Capacity-Baseline-Baseline,21136.03
Copper,2023,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,21136.03
Copper,2023,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,21136.03
Copper,2023,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,21136.03
Copper,2024,Ambitious-Baseline-Baseline-Baseline-Baseline,21874.99383
Copper,2024,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,21874.72655
Copper,2024,Ambitious-Baseline-High Capacity-Baseline-Baseline,21919.8521
Copper,2024,Ambitious-Baseline-Low Capacity-Baseline-Baseline,21850.07671
Copper,2024,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,21849.80947
Copper,2024,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,21874.99383
Copper,2024,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,21919.8521
Copper,2025,Ambitious-Baseline-Baseline-Baseline-Baseline,22613.79505
Copper,2025,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,22612.82813
Copper,2025,Ambitious-Baseline-High Capacity-Baseline-Baseline,22709.66653
Copper,2025,Ambitious-Baseline-Low Capacity-Baseline-Baseline,22560.42068
Copper,2025,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,22559.5304
Copper,2025,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,22613.79505
Copper,2025,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,22709.66653
Copper,2026,Ambitious-Baseline-Baseline-Baseline-Baseline,23319.61551
Copper,2026,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,23317.29932
Copper,2026,Ambitious-Baseline-High Capacity-Baseline-Baseline,23483.7315
Copper,2026,Ambitious-Baseline-Low Capacity-Baseline-Baseline,23225.82388
Copper,2026,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,23224.13392
Copper,2026,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,23319.61551
Copper,2026,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,23483.7315
Copper,2027,Ambitious-Baseline-Baseline-Baseline-Baseline,24105.33549
Copper,2027,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,24100.71433
Copper,2027,Ambitious-Baseline-High Capacity-Baseline-Baseline,24362.1055
Copper,2027,Ambitious-Baseline-Low Capacity-Baseline-Baseline,23957.71869
Copper,2027,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,23955.26754
Copper,2027,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,24105.33549
Copper,2027,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,24362.1055
Copper,2028,Ambitious-Baseline-Baseline-Baseline-Baseline,24991.99343
Copper,2028,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,24983.59056
Copper,2028,Ambitious-Baseline-High Capacity-Baseline-Baseline,25375.42011
Copper,2028,Ambitious-Baseline-Low Capacity-Baseline-Baseline,24769.75239
Copper,2028,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,24766.32752
Copper,2028,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,24991.99343
Copper,2028,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,25375.42011
Copper,2029,Ambitious-Baseline-Baseline-Baseline-Baseline,25989.12603
Copper,2029,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,25973.64394
Copper,2029,Ambitious-Baseline-High Capacity-Baseline-Baseline,26545.42003
Copper,2029,Ambitious-Baseline-Low Capacity-Baseline-Baseline,25662.72003
Copper,2029,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,25656.98092
Copper,2029,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,25989.12603
Copper,2029,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,26545.42003
Copper,2030,Ambitious-Baseline-Baseline-Baseline-Baseline,27221.51568
Copper,2030,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,27198.612
Copper,2030,Ambitious-Baseline-High Capacity-Baseline-Baseline,28021.71525
Copper,2030,Ambitious-Baseline-Low Capacity-Baseline-Baseline,26744.49719
Copper,2030,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,26737.1813
Copper,2030,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,27221.51568
Copper,2030,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,28021.71525
Copper,2031,Ambitious-Baseline-Baseline-Baseline-Baseline,27692.2307
Copper,2031,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,27657.27881
Copper,2031,Ambitious-Baseline-High Capacity-Baseline-Baseline,28682.43933
Copper,2031,Ambitious-Baseline-Low Capacity-Baseline-Baseline,27104.24368
Copper,2031,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,27094.05199
Copper,2031,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,27859.23208
Copper,2031,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,28849.44071
Copper,2032,Ambitious-Baseline-Baseline-Baseline-Baseline,28182.2386
Copper,2032,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,28135.06881
Copper,2032,Ambitious-Baseline-High Capacity-Baseline-Baseline,29391.35155
Copper,2032,Ambitious-Baseline-Low Capacity-Baseline-Baseline,27463.70781
Copper,2032,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,27450.95817
Copper,2032,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,28463.85892
Copper,2032,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,29672.97187
Copper,2033,Ambitious-Baseline-Baseline-Baseline-Baseline,28702.28845
Copper,2033,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,28639.82072
Copper,2033,Ambitious-Baseline-High Capacity-Baseline-Baseline,30160.79038
Copper,2033,Ambitious-Baseline-Low Capacity-Baseline-Baseline,27830.64784
