"t","Region","Scenario","Demand"
2022,"ASEAN","Ambitious-Baseline-Baseline-Baseline-Baseline",2476.48340197871
2022,"ASEAN","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",2476.01395565005
2022,"ASEAN","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",2476.95284830737
2022,"ASEAN","Ambitious-Baseline-Baseline-Baseline-USA Recycling",2476.48340197871
2022,"ASEAN","Ambitious-Baseline-High Capacity-Baseline-Baseline",2476.48340197871
2022,"ASEAN","Ambitious-Baseline-Low Capacity-Baseline-Baseline",2476.48340197871
2022,"ASEAN","Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",2476.95284830737
2022,"ASEAN","Ambitious-Double LFP-Baseline-Baseline-Baseline",2476.48340197871
2022,"ASEAN","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",2476.48340197871
2022,"ASEAN","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",2476.48340197871
2022,"ASEAN","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",2476.48340197871
2022,"Africa","Ambitious-Baseline-Baseline-Baseline-Baseline",1541.58315370035
2022,"Africa","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",1541.52162833177
2022,"Africa","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",1541.64467906892
2022,"Africa","Ambitious-Baseline-Baseline-Baseline-USA Recycling",1541.58315370035
2022,"Africa","Ambitious-Baseline-High Capacity-Baseline-Baseline",1541.58315370035
2022,"Africa","Ambitious-Baseline-Low Capacity-Baseline-Baseline",1541.58315370035
2022,"Africa","Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",1541.64467906892
2022,"Africa","Ambitious-Double LFP-Baseline-Baseline-Baseline",1541.58315370035
2022,"Africa","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",1541.58315370035
2022,"Africa","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",1541.58315370035
2022,"Africa","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",1541.58315370035
2022,"Australia/NZ","Ambitious-Baseline-Baseline-Baseline-Baseline",2418.66244905352
2022,"Australia/NZ","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",2418.34165757014
2022,"Australia/NZ","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",2418.98324053689
2022,"Australia/NZ","Ambitious-Baseline-Baseline-Baseline-USA Recycling",2418.66244905352
2022,"Australia/NZ","Ambitious-Baseline-High Capacity-Baseline-Baseline",2418.66244905352
2022,"Australia/NZ","Ambitious-Baseline-Low Capacity-Baseline-Baseline",2418.66244905352
2022,"Australia/NZ","Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",2418.98324053689
2022,"Australia/NZ","Ambitious-Double LFP-Baseline-Baseline-Baseline",2418.66244905352
2022,"Australia/NZ","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",2418.66244905352
2022,"Australia/NZ","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",2418.66244905352
2022,"Australia/NZ","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",2418.66244905352
2022,"Brazil","Ambitious-Baseline-Baseline-Baseline-Baseline",648.537707237617
2022,"Brazil","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",648.467361494889
2022,"Brazil","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",648.608052980344
2022,"Brazil","Ambitious-Baseline-Baseline-Baseline-USA Recycling",648.537707237617
2022,"Brazil","Ambitious-Baseline-High Capacity-Baseline-Baseline",648.537707237617
2022,"Brazil","Ambitious-Baseline-Low Capacity-Baseline-Baseline",648.537707237617
2022,"Brazil","Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",648.608052980344
2022,"Brazil","Ambitious-Double LFP-Baseline-Baseline-Baseline",648.537707237617
2022,"Brazil","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",648.537707237617
2022,"Brazil","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",648.537707237617
2022,"Brazil","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",648.537707237617
2022,"Canada","Ambitious-Baseline-Baseline-Baseline-Baseline",4205.62661031151
2022,"Canada","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",4204.46508939891
2022,"Canada","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",4206.78813122411
