"Scenario","Region","t","Recycling"
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2023,0.0723766159023914
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2024,0.127511030046309
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2025,0.199296583246019
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2026,0.314025489404761
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2027,0.519403612115609
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2028,0.881424863069736
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2029,1.53359869109313
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2030,2.68974576347877
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2031,4.82598269352099
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2032,6.65838205606556
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2033,9.08577783779063
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2034,12.3057455088531
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2035,16.595635343249
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2036,22.0241396611374
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2037,28.557469329388
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2038,36.6295778321243
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2039,46.3356624303207
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2040,57.8636513759149
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2041,71.7831275079219
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2042,87.2408062903679
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2043,104.907045483766
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2044,124.685484043499
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2045,146.609376901111
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2046,170.620603527184
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2047,196.188731253391
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2048,222.818151126321
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2049,250.163424266922
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2050,278.160099635533
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2051,306.117112829855
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2052,334.583968270281
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2053,362.772539749264
